Author (Citation),Sample ID,Total Length (cm),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDA,PFDoA,PFHpA,PFHxS,PFHxA,PFNA,PFOSA,PFOS,PFOA,PFPeA,PFUnA
#34 GLHHFTS (2015),793374,45.75,Lake Erie,NY,GLNS15-1154,42.73212,-78.97097,Pisces,Smallmouth bass,Composite fillet,1,2,8/10/15,2015,0.36,<0.21,1.96,1.29,<0.13,<0.63,<0.13,<0.12,<0.13,19.2,<0.23,<0.24,4.42
#34 GLHHFTS (2015),793434,41.5,Lake Erie,NY,GLNS15-1155,42.53829,-79.27533,Pisces,Smallmouth bass,Composite fillet,1,2,8/28/15,2015,<0.36,<0.21,2.26,1.81,<0.13,<0.63,<0.13,<0.12,<0.13,18.6,0.23,<0.24,5.29
#34 GLHHFTS (2015),793314,45.6,Lake Erie,NY,GLNS15-1158,42.68146,-79.08613,Pisces,Walleye,Composite fillet,1,2,7/20/15,2015,<0.36,<0.21,1.24,0.36,<0.13,<0.63,<0.13,0.36,<0.13,18.7,<0.23,<0.24,1.02
#34 GLHHFTS (2015),806054,64.6,Lake Erie,NY,GLNS15-1166,42.50444,-79.38348,Pisces,Freshwater drum,Fillet,1,1,8/27/15,2015,<0.36,<0.21,0.59,0.22,<0.13,<0.63,<0.13,0.15,<0.13,6.14,<0.23,<0.24,0.59
#34 GLHHFTS (2015),806614,38.78,Lake Erie,NY,GLNS15-2139,42.63452,-79.11702,Pisces,Smallmouth bass,Composite fillet,1,5,9/1/15,2015,<0.36,<0.21,2.44,0.91,<0.13,<0.63,<0.13,<0.12,<0.13,31.1,<0.23,<0.24,2.47
#34 GLHHFTS (2015),806592,35.95,Lake Erie,NY,GLNS15-2141,42.54468,-79.32787,Pisces,White bass,Composite fillet,1,2,8/31/15,2015,<0.36,<0.21,2.72,0.64,<0.13,<0.63,<0.13,1.38,0.18,45.5,<0.23,<0.24,1.85
#34 GLHHFTS (2015),793394,32.65,Lake Erie,NY,GLNS15-2143,42.73754,-78.94866,Pisces,Smallmouth bass,Composite fillet,1,2,8/10/15,2015,<0.36,<0.21,1.44,0.82,<0.13,<0.63,<0.13,<0.12,<0.13,15.6,<0.23,<0.24,2.43
#34 GLHHFTS (2015),793414,38.2,Lake Erie,NY,GLNS15-2152,42.27493,-79.75375,Pisces,Smallmouth bass,Fillet,1,1,9/2/15,2015,<0.36,<0.21,2.17,1.15,<0.13,<0.63,<0.13,<0.12,0.19,30.2,<0.23,<0.24,2.45
#34 GLHHFTS (2015),776854,30.1,Lake Ontario,NY,GLNS15-1288,43.96827,-76.1154,Pisces,White perch,Composite fillet,1,5,8/6/15,2015,<0.36,<0.21,2.74,1.14,<0.13,<0.63,<0.13,0.39,0.16,56.5,<0.23,<0.24,3.36
#34 GLHHFTS (2015),776794,50.75,Lake Ontario,NY,GLNS15-1289,43.9136,-76.18341,Pisces,Walleye,Composite fillet,1,2,7/26/15,2015,<0.36,<0.21,1.29,0.48,<0.13,<0.63,<0.13,0.4,0.95,57.3,<0.23,<0.24,1.29
#34 GLHHFTS (2015),805514,52.43333333,Lake Ontario,NY,GLNS15-1290,43.3582,-78.70273,Pisces,Rainbow trout,Composite fillet,1,3,9/22/15,2015,<0.36,<0.21,0.44,0.11,<0.13,<0.63,<0.13,<0.12,<0.13,25.9,<0.23,<0.24,0.23
#34 GLHHFTS (2015),775714,70.875,Lake Ontario,NY,GLNS15-1291,43.33797,-77.67321,Pisces,Lake trout,Composite fillet,1,4,9/22/15,2015,<0.36,<0.21,0.71,0.27,<0.13,<0.63,<0.13,0.28,<0.13,33,<0.23,<0.24,0.64
#34 GLHHFTS (2015),776754,62.2,Lake Ontario,NY,GLNS15-1292,43.50622,-76.48772,Pisces,Coho salmon,Composite fillet,1,2,9/24/15,2015,<0.36,<0.21,<0.16,<0.09,<0.13,<0.63,<0.13,0.22,<0.13,19.7,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),777794,48.9,Lake Ontario,NY,GLNS15-1293,43.91219,-76.28412,Pisces,Smallmouth bass,Composite fillet,1,2,8/7/15,2015,<0.36,<0.21,2.42,1.69,<0.13,<0.63,<0.13,<0.12,0.59,53.3,<0.23,<0.24,5.7
#34 GLHHFTS (2015),775494,54.4,Lake Ontario,NY,GLNS15-1294,43.31197,-78.889,Pisces,Chinook salmon,Fillet,1,1,9/17/15,2015,<0.36,<0.21,0.53,0.11,<0.13,<0.63,<0.13,0.23,<0.13,35.7,<0.23,<0.24,0.32
#34 GLHHFTS (2015),780834,62.7,Lake Ontario,NY,GLNS15-1295,43.2548,-77.48873,Pisces,Lake trout,Fillet,1,1,6/26/15,2015,<0.36,<0.21,1.04,0.32,<0.13,<0.63,<0.13,0.21,0.17,25.8,<0.23,<0.24,1.32
#34 GLHHFTS (2015),777854,58.75,Lake Ontario,NY,GLNS15-1296,43.58759,-76.25065,Pisces,Coho salmon,Composite fillet,1,2,9/25/15,2015,<0.36,<0.21,<0.16,<0.09,<0.13,<0.63,<0.13,<0.12,<0.13,13.9,<0.23,<0.24,<0.17
#34 GLHHFTS (2015),805674,57.55,Lake Ontario,NY,GLNS15-1297,44.07588,-76.377,Pisces,Channel catfish,Composite fillet,1,2,8/7/15,2015,<0.36,<0.21,1.35,0.87,<0.13,<0.63,<0.13,<0.12,<0.13,9.43,<0.23,<0.24,2.16
