Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Age (Years),d13C,d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDS,PFDA,PFDoA,PFHpA,PFHxDA,PFHxS,PFHxA,PFNA,PFOS,PFOA,PFPeA,PFTeDA,PFTrDA,PFUnA
#38 Ren et al (2022),LHRainbowSmelt20171413001,6.91,1.691,NA,NA,-24.5,7.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Rainbow smelt,Composite whole fish homogenate,1,30,10/17/17,2017,0.128013063,ND,<0.12,0.744075926,0.296030207,ND,ND,0.064006531,ND,1.200122461,7.656781304,0.184018777,ND,0.104010613,0.832084907,1.128115114
#38 Ren et al (2022),LHRainbowSmelt20171413002,6.793333333,1.702,NA,NA,-24.5,7.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Rainbow smelt,Composite whole fish homogenate,1,30,10/17/17,2017,0.134203143,ND,<0.12,0.749958738,0.292089193,ND,ND,0.09473163,<0.059,1.10520235,8.091660065,0.181568958,ND,0.110520235,0.907844788,1.097308048
#38 Ren et al (2022),LHRainbowSmelt20171413003,6.746666667,1.580666667,NA,NA,-24.5,7.8,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Rainbow smelt,Composite whole fish homogenate,1,30,10/17/17,2017,0.169755205,ND,<0.12,0.840288264,0.331022649,ND,ND,0.093365363,0.237657287,1.485358042,8.173713109,0.254632807,ND,0.110340883,0.959116907,1.324090597
#38 Ren et al (2022),LHRoundGoby20170710001LD_avg,7.49,4.544,NA,NA,-20.3,8.24,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Round goby,Composite whole fish homogenate,2,10,10/21/17,2017,0.383822902,0.021,<0.12,1.757961164,0.789002129,ND,ND,0.123473448,<0.059,0.968713535,12.93671846,0.191665951,ND,0.302571104,2.138126551,2.782421658
#38 Ren et al (2022),LHRoundGoby20170710002,7.4,4.656,NA,NA,-20.3,8.24,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Round goby,Composite whole fish homogenate,1,10,10/21/17,2017,0.491759073,ND,<0.12,1.633909178,0.769365001,ND,ND,0.111042371,<0.059,0.951791754,12.8015991,0.166563557,ND,0.317263918,2.252573819,2.63329052
#38 Ren et al (2022),LHRoundGoby20170710003,7.34,4.495,NA,NA,-20.3,8.24,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Round goby,Composite whole fish homogenate,1,10,10/21/17,2017,0.883442673,ND,<0.12,1.859070669,0.77589313,ND,<0.11,0.169006424,<0.059,1.113905979,13.55124239,0.268873857,ND,0.299602298,2.204765628,2.934566097
#38 Ren et al (2022),LHRoundGoby20171413001,10,12.16,NA,NA,-21.9,8.9,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Round goby,Whole fish homogenate,1,1,10/17/17,2017,0.097118721,0.089025495,<0.12,1.715764078,0.606992009,ND,ND,0.097118721,0.072839041,1.942374428,10.36742351,1.027839801,ND,0.291356164,1.513433408,2.306569633
#38 Ren et al (2022),LHRoundGoby20171413002,7.6,5.373333333,NA,NA,-21.9,8.9,Lake Huron,"Port Austin, MI (P318)",44.1627778,-83.07416667,Pisces,Round goby,Composite whole fish homogenate,1,3,10/17/17,2017,0.334878074,0.031151449,<0.12,1.830147614,0.716483321,ND,<0.11,0.07009076,0.147969382,2.710176041,10.21767519,2.788054663,ND,0.233635866,1.67439037,3.107357013
#38 Ren et al (2022),LHYellowPerch20170710001,6.166666667,2.606666667,NA,NA,-24.6,7.23,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Pisces,Yellow perch,Composite whole fish homogenate,1,3,10/23/17,2017,0.331373972,0.077063715,<0.12,0.95559006,0.577977859,ND,ND,0.192659286,0.077063715,0.708986174,9.370947685,0.100182829,ND,0.292842115,1.317789518,1.733933577
#38 Ren et al (2022),#38REN2022 DREIS 1-2,NA,NA,NA,NA,-25.5,8.91,Lake Huron,"Rockport, MI (P307)",45.0097222,-83.34527778,Bivalvia,Dreissenid mussel,Bulk composite,2,2,6/20/17,2017,0.11,0.21,<0.12,0.15,<0.083,0.072,0.29,<0.051,<0.059,0.29,1.8,0.3,<0.03,0.31,0.37,0.26
