Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Maturity,d13C,d15N,Waterbody,Region,Location,Latitude,Longitude,Latitude 2,Longitude 2,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFPrS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,FBSA,FHxSA,PFOSA,NMeFBSA,NMeFOSA,NEtFOSA,FOSAA,NMeFOSAA,NEtFOSAA,3:3 FTCA,5:3 FTCA,7:3 FTCA,6:2 FTCA,8:2 FTCA,10:2 FTCA,4:2 FTSA,6:2 FTSA,8:2 FTSA,10:2 FTSA,Gen-X,ADONA,6:2 Cl-PFESA,8:2 Cl-PFESA,Cl-PFOS,PFEtCHxS,PFHxPA,PFOPA,6:2 diPAP,PFHxSAm,PFOSAm,PFHxSAmS,PFOSAmS,PFOANO,PFOSNO,PFOAB,PFOSB,5:3 FTB,5:1:2 FTB,6:2 FTAB
#8 Munoz et al (2022),NEME-7,NA,NA,Adult (Sexually Mature),-22.08,10.17,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.074,1.052,3.246,3.254,1.365,1.346,0.431,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,30.104,<0.007,0.654,<0.005,0.109,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.053,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-8,NA,NA,Adult (Sexually Mature),-19.02,12.85,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,0.132,<0.03,<0.016,<0.02,<0.013,1.094,3.975,3.431,1.623,1.339,0.434,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,42.692,<0.007,0.729,<0.005,0.042,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NEME-9,NA,NA,Adult (Sexually Mature),-20.15,12.33,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Round goby,Whole fish homogenate,1,1,9/19/19,2019,0.179,<0.03,<0.016,<0.02,0.021,1.28,4.214,3.613,1.377,1.495,0.442,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,37.371,<0.007,0.506,<0.005,0.129,0.199,0.123,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-1,8.9,4.35,Adult (Sexually Mature),-24.76,9.91,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.468,1.13,1.059,0.457,0.424,0.201,<0.591,<0.017,<0.005,<0.006,0.021,<0.007,20.605,<0.007,0.96,<0.005,0.11,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.035,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-2,9.4,5.25,Adult (Sexually Mature),-21.75,10.85,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.269,0.621,0.452,0.101,0.091,0.037,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,12.01,<0.007,0.261,<0.005,0.079,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.078,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-3,9.45,6.5,Adult (Sexually Mature),-22.22,9.52,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.3,0.72,0.559,0.248,0.183,0.134,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,14.306,<0.007,0.289,<0.005,0.113,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.306,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-4,9.2,6,Adult (Sexually Mature),-24.16,11.01,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.025,1.215,2.645,2.417,0.951,0.585,0.408,<0.591,<0.017,<0.005,<0.006,<0.005,0.014,31.507,<0.007,1.039,<0.005,0.236,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOAT-5,9.8,6,Adult (Sexually Mature),-25.16,11.36,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Emerald shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.829,2.647,2.33,0.799,<0.009,0.24,<0.591,<0.017,<0.005,<0.006,<0.005,0.017,71.702,<0.007,0.304,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,0.217,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-1,11.85,15.05,Adult (Sexually Mature),-20.93,11.74,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,<0.01,0.814,1.019,0.279,0.453,0.056,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,14.915,<0.007,0.289,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-2,10.75,12.75,Adult (Sexually Mature),-20.18,11.33,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.328,1.367,0.938,0.328,0.228,0.037,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,17.926,<0.007,0.111,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.04,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-3,10.1,9.2,Adult (Sexually Mature),-21.64,10.74,Lake Ontario,St. Lawrence River,Iles Robinet / Ile Beauregard,45.74298015,-73.42159338,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.103,1.246,1.057,0.435,0.498,0.071,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,15.784,<0.007,0.338,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-4,10,8.45,Adult (Sexually Mature),-22.62,10.5,Lake Ontario,St. Lawrence River,Iles Robinet / Ile Beauregard,45.74298015,-73.42159338,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.224,1.236,1.532,0.902,0.583,0.15,<0.591,<0.017,<0.005,<0.006,0.024,<0.007,16.412,<0.007,0.361,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.041,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-5,10.85,11.9,Adult (Sexually Mature),-19.31,12.15,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,<0.01,1.171,0.682,0.094,0.33,<0.022,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,15.205,<0.007,0.238,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.037,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-6,9.5,7.45,Adult (Sexually Mature),-20.42,9.07,Lake Ontario,St. Lawrence River,Iles Robinet / Ilet Vert,45.72414546,-73.4389368,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.175,1.318,1.442,0.714,0.534,0.156,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,18.188,<0.007,0.385,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOCR-7,10,8.65,Adult (Sexually Mature),-18.52,9.65,Lake Ontario,St. Lawrence River,Iles Robinet / Ilet Vert,45.72414546,-73.4389368,45.7160065,-73.44774639,Pisces,Gold shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.222,1.771,1.766,0.729,0.631,0.16,<0.591,<0.017,<0.005,<0.006,0.008,<0.007,21.121,<0.007,0.491,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOST-VO-1,9.7,8,Adult (Sexually Mature),-21.11,10.15,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Sand shiner; Mimic shiner,Whole fish homogenate,1,1,9/19/19,2019,0.311,<0.03,<0.016,<0.02,<0.013,0.159,0.673,0.877,0.448,0.267,0.168,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,15.959,<0.007,0.877,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOST-VO-2,9.25,7,Adult (Sexually Mature),-21.55,9.89,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Sand shiner; Mimic shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.156,0.786,0.928,0.317,0.23,0.171,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,16.487,<0.007,0.446,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.244,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOST-VO-3,9.25,6,Adult (Sexually Mature),-22.33,10.05,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Sand shiner; Mimic shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.087,0.704,0.83,0.33,0.202,0.258,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,15.37,<0.007,0.468,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.214,<0.035,<0.036,0.114,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOST-VO-4,9.35,7,Adult (Sexually Mature),-22.75,9.54,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Sand shiner; Mimic shiner,Whole fish homogenate,1,1,9/19/19,2019,0.161,<0.03,<0.016,<0.02,<0.013,0.251,0.929,1.185,0.493,0.37,0.339,<0.591,<0.017,<0.005,<0.006,0.016,<0.007,20.653,<0.007,0.829,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.224,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.021,<0.023,<0.016,0.501,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOST-VO-5,9,6,Adult (Sexually Mature),-23.19,10.7,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Sand shiner; Mimic shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.253,0.68,0.687,0.18,0.097,0.189,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,12.395,<0.007,0.343,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.095,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOST-VO-6,9.45,6.05,Adult (Sexually Mature),-23.7,9.54,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Sand shiner; Mimic shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.425,1.427,1.516,0.693,0.523,0.388,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,19.662,<0.007,0.863,<0.005,0.216,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,0.127,0.055,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOST-VO-7,9.75,7.5,Adult (Sexually Mature),-22.13,10.88,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Sand shiner; Mimic shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.173,0.774,1.003,0.486,0.303,0.211,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,17.478,<0.007,0.41,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.021,<0.023,<0.016,0.047,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),NOST-VO-8,8.05,4.05,Adult (Sexually Mature),-23.96,9.42,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Sand shiner; Mimic shiner,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.086,0.785,0.923,0.41,0.341,0.127,<0.591,<0.017,<0.005,<0.006,<0.005,<0.007,22.254,<0.007,0.701,<0.005,0.214,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,<0.009,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-A1,22,129,Adult (Sexually Mature),-19.62,6.08,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,0.144,<0.03,<0.016,<0.02,0.028,1.303,2.747,2.382,1.241,1.503,0.593,<0.591,<0.017,<0.005,<0.006,0.081,0.117,60.141,<0.007,0.479,<0.005,0.383,0.111,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.137,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-A2,18.8,86,Adult (Sexually Mature),-17.15,10.61,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,0.175,<0.03,<0.016,<0.02,<0.013,1.104,2.136,1.826,0.741,1.087,0.428,<0.591,<0.017,<0.005,<0.006,0.036,0.035,44.347,<0.007,0.412,<0.005,0.167,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.033,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-A3,21.2,112,Adult (Sexually Mature),-19.72,9.24,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,0.177,<0.03,<0.016,<0.02,<0.013,0.905,1.839,1.604,0.761,0.848,0.201,<0.591,<0.017,<0.005,<0.006,0.074,0.069,41.091,<0.007,0.37,<0.005,0.277,0.053,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.104,<0.023,<0.016,<0.004,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-J1,13.5,50,Juvenile,-19.4,9.32,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,<0.013,0.536,1.019,1.341,0.623,0.745,0.15,<0.591,<0.017,<0.005,<0.006,0.041,0.011,25.977,<0.007,0.552,<0.005,0.155,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,0.038,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.071,<0.023,<0.016,0.071,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-J2,14,35,Juvenile,-19.98,11.99,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.087,0.847,1.451,1.127,0.518,0.515,0.085,<0.591,<0.017,<0.005,<0.006,0.048,0.033,27.741,<0.007,0.36,<0.005,0.146,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.066,<0.023,<0.016,0.044,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-J3,15.9,70,Juvenile,-17.87,13.14,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,0.177,<0.03,<0.016,<0.02,0.031,0.586,2.829,3.634,2.472,2.861,1.272,<0.591,<0.017,<0.005,<0.006,0.045,0.066,47.929,0.032,1.629,<0.005,0.45,0.099,0.087,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.17,<0.023,<0.016,0.289,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-J4,15.5,50,Juvenile,-18.68,12.32,Lake Ontario,St. Lawrence River,Ilet Vert,45.70575134,-73.45269049,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,<0.126,<0.03,<0.016,<0.02,0.074,1.872,3.296,3.426,1.794,1.464,0.458,<0.591,<0.017,<0.005,<0.006,0.052,0.029,57.029,<0.007,1.254,<0.005,<0.006,<0.016,<0.023,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.134,<0.023,<0.016,0.162,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
#8 Munoz et al (2022),PEFL-J5,15.2,55,Juvenile,-18.29,11.83,Lake Ontario,St. Lawrence River,Ile Beauregard,45.75109236,-73.41078688,45.7160065,-73.44774639,Pisces,Yellow perch,Whole fish homogenate,1,1,9/19/19,2019,0.131,<0.03,<0.016,<0.02,0.181,3.381,3.878,3.635,2.391,2.716,1.261,<0.591,<0.017,<0.005,<0.006,0.09,0.147,67.36,<0.007,1.4,<0.005,0.187,<0.016,0.093,<0.02,<0.01,<0.013,<0.161,<0.011,<0.008,<0.163,<0.071,<0.032,<0.108,<0.127,<0.034,<0.014,<0.054,<0.014,<0.086,<0.414,<0.016,<0.014,<0.011,<0.009,0.203,<0.023,<0.016,0.136,<0.035,<0.036,<0.021,<0.034,<0.058,<0.047,<0.081,<0.161,<0.027,<0.03,<0.053
