Author (Citation),Sample ID,Total Length (cm),Sex Ratio,Maturity,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBS,PFHxS,PFOS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFODA
#49 Conard et al (2022),COS660F,66,1,Adult (Sexually Mature),Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Coho salmon,Muscle,1,1,2020,1.13,<0.001,2.2,<0.001,<0.395,0.63,6.92,<0.296,<0.291,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),COS660F-E,66,NA,NA,Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Coho salmon,Eggs,1,1,2020,2.62,0.75,104.8,1.4,3.18,0.57,<0.088,3.01,<0.291,0.84,1.15,1.01,3.92,0.26,<0.015,<0.034,<0.009
#49 Conard et al (2022),ST660F,66,1,Adult (Sexually Mature),Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Steelhead trout,Muscle,1,1,2020,4.58,0.52,5.4,1.4,<1.315,<0.376,<0.088,0.62,<0.291,<0.14,<0.277,<0.065,3.63,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),ST660F-E,66,NA,NA,Lake Michigan,Little Manistee,44.20897457,-86.25841386,Pisces,Steelhead trout,Eggs,1,1,2020,2.14,<0.001,82.3,1.3,<0.395,<0.376,<0.088,1.8,<0.291,0.93,1.07,1.36,10.91,0.86,<0.015,<0.034,<0.009
#49 Conard et al (2022),STTC660F,66,1,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Steelhead trout,Muscle,1,1,2020,0.65,<0.001,2.8,<0.001,<1.315,<0.376,<0.088,<0.089,<0.291,<0.14,<0.083,<0.065,2.66,0.38,<0.015,<0.034,0.63
#49 Conard et al (2022),STTC660F-E,66,NA,NA,Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Steelhead trout,Eggs,1,1,2020,0.76,0.77,71.7,1.1,<0.395,<0.376,<0.088,1.09,<0.291,<0.14,0.57,0.54,15.39,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),TC550F,55,1,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Muscle,1,1,2020,0.37,<0.001,<0.001,<0.001,<0.395,<0.376,5.09,3.36,1.61,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),TC550F-E,55,NA,NA,Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Coho salmon,Eggs,1,1,2020,<0.001,<0.001,0.4,<0.001,<1.315,0.71,1.62,3.94,<0.971,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,<0.009
#49 Conard et al (2022),TC680M,68,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Steelhead trout,Muscle,1,1,2020,1.62,<0.001,6.2,<0.001,1.95,0.62,<0.088,2.85,<0.971,<0.14,<0.083,<0.065,<0.033,<0.016,<0.015,<0.034,0.59
#49 Conard et al (2022),WI510M,51,0,Adult (Sexually Mature),Lake Michigan,Trail Creek,41.69728658,-86.85116301,Pisces,Chinook salmon,Muscle,1,1,2020,4.01,<0.001,2.5,<0.001,3.9,1.99,<0.088,3.26,<0.291,<0.14,<0.083,<0.065,0.64,<0.016,<0.015,<0.034,<0.009
