Author (Citation),Sample ID,Maturity,Age (Years),Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Sampling Year,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFBS,PFHxS,PFOS,PFOSA,PFDS
#63 Custer et al (2014),MPT DIET-5,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Diet,1,NA,2009,<0.5,<0.5,<2.5,<0.75,<0.4,<0.25,<0.5,<0.01,<0.05,<12.0,<0.1,12.3,<0.3,<1
#63 Custer et al (2014),MPT DIET-6,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Diet,1,NA,2009,<0.5,<0.5,<2.5,<0.75,<0.4,1.63,0.92,<0.01,<0.05,<12.0,<0.1,31,<0.3,2.5
#63 Custer et al (2014),NBLPlasma,Nestling,0.0328767,Lake Superior,North Bass Lake,46.1906222,-89.95807222,Aves,Tree swallow,Composite plasma,5,NA,2008,NA,NA,NA,NA,2.25,2.68,0.79,1.74,<0.50,NA,<1.0,6.23,<0.50,NA
#63 Custer et al (2014),SLPlasma,Nestling,0.0328767,Lake Superior,Star Lake,46.0241278,-89.47021389,Aves,Tree swallow,Composite plasma,5,NA,2008,NA,NA,NA,NA,21.6,15.5,2.64,5.07,0.74,NA,<1.0,20,<0.50,NA
#63 Custer et al (2014),MGM701-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,2.83,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MGM705-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,<2.5,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MGM706-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,<2.5,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MGM707-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,<2.5,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MGM712-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,3.32,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MGM713-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,<2.5,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MGM715-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,<2.5,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MGM716-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,<2.5,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MGM718-Ca,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,<2.5,<0.4,<0.20,<0.20,<5.0,<0.20,<1.0,<0.05,<0.01
#63 Custer et al (2014),MN10GM701-Na,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,0.4,3.07,0.98,0.21,0.05,<5.0,<0.05,4.3,0.08,0.89
#63 Custer et al (2014),MN10GM703-Na,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,2,9.6,2.01,0.35,<0.05,<5.0,<0.05,6,<0.05,<0.01
#63 Custer et al (2014),MN10GM705-Na,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,1.6,7.77,1.81,0.38,<0.05,<5.0,<0.05,5.9,0.05,<0.01
#63 Custer et al (2014),MN10GM706-Na,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,2.4,13.61,2.16,0.44,<0.05,<5.0,<0.05,9,0.05,<0.01
#63 Custer et al (2014),MN10GM707-Na,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,1.1,5.45,1.14,0.46,0.05,<5.0,<0.05,5.1,<0.05,<0.01
#63 Custer et al (2014),MN10GM712-Na,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,2.3,14.34,2.98,0.44,<0.05,<5.0,<0.05,11.5,0.07,<0.01
#63 Custer et al (2014),MN10GM713-Na,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,2.3,11.84,1.88,0.53,0.05,<5.0,<0.05,6.6,0.06,<0.01
#63 Custer et al (2014),MN10GM714-Na,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,1,6.45,1.56,0.41,<0.05,<5.0,<0.05,5.8,0.05,<0.01
#63 Custer et al (2014),MN11GM-702 NA,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,1.1,0.77,<0.4,0.4,<0.20,<5.0,<0.20,4.17,<0.17,<0.01
#63 Custer et al (2014),MN11GM-706 NA,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,0.78,1.8,0.47,0.66,<0.20,<5.0,<0.20,2.6,<0.17,<0.01
#63 Custer et al (2014),MN11GM-707 NA,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,0.65,1.53,0.7,0.53,<0.20,<5.0,<0.20,3.65,<0.17,<0.01
#63 Custer et al (2014),MN11GM-708 NA,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,<0.4,1.61,0.58,0.61,<0.20,<5.0,<0.20,3.76,<0.17,<0.01
#63 Custer et al (2014),MN11GM-712 NA,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,<0.4,2.06,0.99,0.65,<0.20,<5.0,<0.20,3.75,<0.17,<0.01
#63 Custer et al (2014),MN11GM-713 NA,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,0.99,1.24,0.45,0.51,<0.20,<5.0,<0.20,4.31,<0.17,<0.01
#63 Custer et al (2014),MN11GM-714 NA,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,<0.4,1.31,0.5,0.42,<0.20,<5.0,<0.20,5,<0.17,<0.01
#63 Custer et al (2014),MN11GM-715 NA,Nestling,0.0328767,Lake Superior,Green Mountain Lake,45.1626111,-93.78941667,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,1.13,1.27,<0.4,0.56,<0.20,<5.0,<0.20,3.06,<0.17,<0.01
#63 Custer et al (2014),LJ740-Na,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2008,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,44.6,<2.5,<0.01
#63 Custer et al (2014),LJ756-Na,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2008,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,39.2,<2.5,<0.01
#63 Custer et al (2014),LJ767-Na,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2008,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,2.93,<2.5,<2.5,<5.0,<4.9,47.8,<2.5,<0.01
#63 Custer et al (2014),MLJ730-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,23,<2.5,<0.01
#63 Custer et al (2014),MLJ731-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,36.6,<2.5,<0.01
#63 Custer et al (2014),MLJ739-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,42.6,<2.5,<0.01
#63 Custer et al (2014),MLJ741-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,3.11,<2.5,<2.5,<5.0,<4.9,50.2,<2.5,<0.01
#63 Custer et al (2014),MLJ758-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,45.5,<2.5,<0.01
#63 Custer et al (2014),MLJ759-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,36.8,<2.5,<0.01
#63 Custer et al (2014),MLJ762-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,62.9,<2.5,<0.01
#63 Custer et al (2014),MLJ765-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,32.6,<2.5,<0.01
#63 Custer et al (2014),MLJ766-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,41.8,<2.5,<0.01
#63 Custer et al (2014),MLJ767-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,4.01,<2.5,<2.5,<5.0,4.99,54.2,<2.5,<0.01
#63 Custer et al (2014),MLJ768-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<5.0,<4.9,39.3,<2.5,<0.01
#63 Custer et al (2014),MLJ769-Ca,Nestling,0.0328767,Lake Superior,Lake Johanna,45.04869968,-93.17608101,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,2.87,<2.5,<2.5,<5.0,<4.9,45.4,<2.5,<0.01
#63 Custer et al (2014),MN10PE735-Na,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,17.5,0.67,1.52,0.37,0.13,<5.0,0.2,83.1,0.74,0.36
#63 Custer et al (2014),MN10PE739-Na,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,17.3,1.32,2.09,0.44,0.35,<5.0,0.2,131.6,0.83,1.2
#63 Custer et al (2014),MN10PE740-Na,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,10.4,0.68,1.04,0.19,0.13,<5.0,0.1,57.7,0.85,0.59
#63 Custer et al (2014),MN10PE741-Na,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,19.5,0.53,1.16,0.14,0.17,<5.0,0.24,76.9,0.75,0.59
#63 Custer et al (2014),MN10PE742-Na,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,21.8,0.86,1.34,0.22,0.19,<5.0,0.15,91,0.93,0.61
#63 Custer et al (2014),MN10PE747-Na,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,18.6,0.41,1.01,0.18,0.14,<5.0,0.18,84.6,0.54,0.63
#63 Custer et al (2014),MN10PE750-Na,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,31.7,0.65,1,0.16,0.14,<5.0,0.21,82.6,0.47,0.01
#63 Custer et al (2014),MN10PE762-Na,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2010,<2.5,<2.5,<2.5,<2.5,21.7,0.86,1.01,0.21,0.13,<5.0,0.27,69.1,1.03,0.74
#63 Custer et al (2014),MN11PE-731 NA,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,41.21,1,1.9,0.48,0.42,<5.0,0.82,165.52,0.61,0.45
#63 Custer et al (2014),MN11PE-732 NA,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,11.91,1.4,1.64,1.11,0.42,<5.0,0.43,148,0.58,0.27
#63 Custer et al (2014),MN11PE-737 NA,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,33.52,1.01,1.28,0.39,0.4,<5.0,0.61,198.15,0.63,0.3
#63 Custer et al (2014),MN11PE-742 NA,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,8.12,<0.3,0.6,0.32,0.25,<5.0,0.67,30.58,0.47,0.22
#63 Custer et al (2014),MN11PE-744 NA,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,36.3,1.02,1.66,0.36,0.29,<5.0,1.45,104.25,0.32,0.33
#63 Custer et al (2014),MN11PE-758 NA,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,10.23,1.47,2.04,0.54,0.26,<5.0,0.59,100.38,0.41,<0.01
#63 Custer et al (2014),MN11PE-761 NA,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,7.92,0.54,0.89,0.79,<0.2,<5.0,0.88,33.89,0.75,0.35
#63 Custer et al (2014),MN11PE-764 NA,Nestling,0.0328767,Lake Superior,Pigs Eye Lake,44.9273222,-93.02747778,Aves,Tree swallow,Carcass,1,1,2011,<2.5,<2.5,<2.5,<2.5,20.52,1.96,2.91,0.89,0.66,<5.0,1.17,175.91,0.6,0.42
#63 Custer et al (2014),MPT 803-CA,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,<0.4,<0.6,<0.7,<0.3,<0.4,<5.0,<0.4,15.1,<0.3,2
#63 Custer et al (2014),MPT 806-CA,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,2,1.04,1.52,<0.3,<0.4,<5.0,<0.4,37,<0.3,4.9
#63 Custer et al (2014),MPT 811-CA,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,1.3,<0.6,0.82,<0.3,<0.4,<5.0,<0.4,24.2,<0.3,2.6
#63 Custer et al (2014),MPT 815-CA,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,1.2,1.1,0.69,<0.3,<0.4,<5.0,<0.4,26.4,<0.3,2.6
#63 Custer et al (2014),MPT 820-CA,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,1.6,0.7,0.59,<0.3,<0.4,<5.0,<0.4,30.3,<0.3,2.9
#63 Custer et al (2014),MPT 830-CA,Nestling,0.0328767,Lake Superior,Pool 2,44.7572778,-92.87273056,Aves,Tree swallow,Carcass,1,1,2009,<2.5,<2.5,<2.5,<2.5,0.9,<0.6,0.92,<0.3,<0.4,<5.0,<0.4,39,<0.3,6.3
