Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Age (Years),d13C,d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDS,PFDA,PFDoA,PFHpA,PFHxDA,PFHxS,PFHxA,PFNA,PFOS,PFOA,PFPeA,PFTeDA,PFTrDA,PFUnA
#19 Ren et al (2022),20180623AC001,61.36,2404,0.4,4.4,NA,NA,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Composite whole fish homogenate,1,5,10/2/18,2018,0.121148508,3.556574068,0.311524736,1.574930609,0.475940569,ND,ND,<0.051,ND,0.614396007,55.43409605,<0.048,1.202831619,0.164415833,0.76150491,1.592237539
#19 Ren et al (2022),20180623AC002,61.24,2503.8,0.4,4.6,NA,NA,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Composite whole fish homogenate,1,5,10/2/18,2018,ND,<0.021,0.311179054,1.587013176,0.466768581,ND,ND,ND,ND,0.552342821,61.01443304,<0.048,ND,0.155589527,0.684593919,1.485879983
#19 Ren et al (2022),20180623AC003,59.14,2191.2,0.4,4.4,NA,NA,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Composite whole fish homogenate,1,5,10/2/18,2018,ND,0.046371333,0.357332033,1.786660165,0.703753164,ND,ND,0.270044819,ND,0.452802423,41.66327841,ND,ND,0.283683446,1.011986139,2.152175374
#19 Ren et al (2022),20180623AC004,59.36,2315.6,0.2,5,NA,NA,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Composite whole fish homogenate,1,5,10/2/18,2018,ND,ND,0.277705459,1.218818402,0.339417783,ND,ND,0.200565053,ND,0.570838998,40.50642676,<0.048,ND,0.092568486,0.493698593,1.157106078
#19 Ren et al (2022),20180623AC005,67.16,3039.2,0.2,5.2,NA,NA,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Composite whole fish homogenate,1,5,10/2/18,2018,ND,0.032532995,0.243997462,0.853991119,0.252130711,ND,ND,0.26026396,ND,0.536794417,48.05936685,<0.048,0.439195432,<0.081,0.414795686,0.84585787
#19 Ren et al (2022),LOLakeTrout20180623F001LD_avg,58,1899,0,4,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,2,1,10/2/18,2018,<0.052,0.110895533,0.251846003,0.936360759,0.23906778,ND,ND,0.167419171,0.059,0.426397311,53.9571025,<0.048,ND,0.103619946,0.470429624,0.780428767
#19 Ren et al (2022),LOLakeTrout20180623F002,59.6,2401,0,4,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,ND,ND,0.317513132,1.029981623,0.356234246,ND,ND,0.224582459,<0.059,0.518862923,55.44863476,ND,ND,0.1703729,0.658258932,1.014493178
#19 Ren et al (2022),LOLakeTrout20180623F003,59.7,2336,1,5,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,ND,ND,0.244950089,1.335373066,0.316064631,ND,ND,0.173835547,ND,0.426687252,50.73627488,ND,ND,0.158032315,0.568916336,1.12202944
#19 Ren et al (2022),LOLakeTrout20180623F004,61.5,2394,0,5,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,ND,ND,0.248393449,1.161840328,0.288456909,ND,ND,0.152241146,<0.059,0.528837667,41.06504607,ND,ND,0.152241146,0.681078813,1.105751485
#19 Ren et al (2022),LOLakeTrout20180623F005,56.4,1938,0,4,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,ND,<0.021,0.267309,1.014201794,0.298757118,ND,ND,0.204412765,0.078620294,0.369515382,36.77071156,<0.048,ND,0.141516529,0.597514235,0.9355815
