Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Age (Years),d13C,d15N,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDS,PFDA,PFDoA,PFHpA,PFHxDA,PFHxS,PFHxA,PFNA,PFOS,PFOA,PFPeA,PFTeDA,PFTrDA,PFUnA
#19 Ren et al (2022),LOLakeTrout20180623F006,55.8,1699,0,4,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,ND,0.074180581,0.461568062,1.65669965,0.552233217,ND,ND,0.288480038,<0.059,0.56871779,68.26261939,<0.048,ND,0.271995465,1.055012712,1.673184223
#19 Ren et al (2022),LOLakeTrout20180623F007,55.5,1635,0,4,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,ND,0.092107955,0.283999527,0.997836176,0.314702179,ND,ND,0.130486269,<0.059,0.360756156,42.72273965,<0.048,ND,0.176540246,0.644755683,1.197403411
#19 Ren et al (2022),LOLakeTrout20180623F008,55,1634,0,4,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,0.100766234,0.341054947,0.294547454,2.24786215,0.674358645,0.217034966,ND,0.271293708,<0.059,0.682109894,32.32270747,0.418567435,ND,0.232537464,1.069672334,2.069583428
#19 Ren et al (2022),LOLakeTrout20180623F009,54.4,1769,0,4,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,<0.052,0.032860197,0.312171872,1.601934604,0.451827709,ND,ND,0.139655837,0.065720394,0.402537413,43.00578284,<0.048,<0.030,0.180731084,0.862580172,1.569074407
#19 Ren et al (2022),LOLakeTrout20180623F010,50.7,1244,0,3,-21.3,17.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Lake trout,Whole fish homogenate,1,1,10/2/18,2018,<0.052,0.039302249,0.30655754,2.703994709,0.958974868,<0.059,<0.11,0.267255291,ND,0.620975529,44.5373082,<0.048,ND,0.471626984,1.933670635,2.719715608
#19 Ren et al (2022),LOLakeTrout20180713F001,74.5,4578,0,10,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,<0.052,ND,0.128295835,0.545257299,0.088203387,ND,ND,0.136314325,ND,0.312721098,39.49106174,<0.048,ND,<0.081,0.216499222,0.441016933
#19 Ren et al (2022),LOLakeTrout20180713F002,55.5,1605,0,3,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,<0.052,0.078143384,0.351645227,1.422209585,0.375088242,ND,ND,0.273501843,ND,0.632961409,59.31864264,1.10963605,ND,0.203172798,0.601704055,1.172150757
#19 Ren et al (2022),LOLakeTrout20180713F003,55.6,1755,0,3,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,<0.052,0.177726613,0.363916399,1.472591938,0.397769087,<0.059,ND,0.135410753,ND,0.677053765,62.6105469,0.406232259,ND,0.194652957,0.660127421,1.1509914
#19 Ren et al (2022),LOLakeTrout20180713F004,64.2,2611,0,4,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,<0.052,0.26063867,0.361531059,1.177077865,0.243823272,ND,ND,0.201784777,ND,0.529685039,70.37244094,0.193377078,<0.030,0.126115486,0.479238845,0.8744007
#19 Ren et al (2022),LOLakeTrout20180713F005LD_avg,60.6,2646,1,5,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,2,1,9/29/18,2018,ND,ND,0.370104495,0.958420631,0.294404931,ND,ND,0.167253331,<0.059,0.381147564,48.7416681,<0.048,ND,0.174779952,0.462645712,0.876675621
#19 Ren et al (2022),LOLakeTrout20180713F006,59.3,2396,1,4,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,ND,0.121121495,0.21953271,0.598037383,0.143831776,ND,ND,0.128691589,0.060560748,0.325514019,40.82551402,0.158971963,ND,<0.081,0.295233645,0.454205607
#19 Ren et al (2022),LOLakeTrout20180713F007,59.4,2156,0,5,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,ND,ND,0.388942618,1.089039329,0.202250161,ND,ND,0.186692456,0.101125081,0.575635074,82.09022888,0.062230819,ND,0.093346228,0.365606061,0.738990974
#19 Ren et al (2022),LOLakeTrout20180713F008,63.7,2816,0,5,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,ND,0.268980722,0.440829517,1.427092167,0.403471084,ND,ND,0.283924096,0.074716867,0.597734939,71.23506134,0.381056024,ND,0.179320482,0.590263252,1.03109277
#19 Ren et al (2022),LOLakeTrout20180713F009,56.9,1695,1,5,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,ND,ND,0.266216889,0.855120916,0.250082532,ND,ND,0.177477926,0.064537428,0.379157387,34.39038172,0.314619959,ND,0.137142034,0.403358922,0.879322451
#19 Ren et al (2022),LOLakeTrout20180713F010,65.5,3072,1,6,-21.5,16.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Lake trout,Whole fish homogenate,1,1,9/29/18,2018,ND,ND,0.18912055,0.446324497,0.143731618,<0.059,ND,0.310157701,ND,0.310157701,31.91598395,0.052953754,ND,<0.081,0.219379838,0.416065209
#19 Ren et al (2022),LOAlewife20180623001,15.12857143,33.4,NA,NA,-23.5,12.2,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Alewife,Composite whole fish homogenate,1,7,11/1/18,2018,<0.052,0.101324181,<0.12,0.38191422,<0.083,ND,ND,0.077941678,0.101324181,0.45206173,16.20407478,0.187060026,ND,<0.081,0.187060026,0.45206173
#19 Ren et al (2022),LOAlewife20180623002,15.15714286,32.69142857,NA,NA,-23.5,12.2,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Alewife,Composite whole fish homogenate,1,7,11/1/18,2018,ND,0.109227936,0.117630085,0.529335382,0.100825787,0.092423638,ND,0.109227936,0.117630085,0.646965466,25.70217353,0.226858021,<0.030,<0.081,0.285673063,0.403303148
#19 Ren et al (2022),LOAlewife20180623003,14.45,33.1575,NA,NA,-23.5,12.2,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Alewife,Composite whole fish homogenate,1,8,11/1/18,2018,ND,0.045245487,<0.12,0.316718407,<0.083,ND,ND,0.06786823,0.090490974,0.377045723,19.49326388,0.150818289,ND,<0.081,0.188522862,0.399668466
#19 Ren et al (2022),LOAlewife20180623004,14.7,29.09125,NA,NA,-23.5,12.2,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Alewife,Composite whole fish homogenate,1,8,11/1/18,2018,ND,ND,<0.12,0.323776326,<0.083,ND,ND,0.082826502,<0.059,0.391543464,16.1511679,0.173182686,ND,<0.081,0.180712368,0.271068552
#19 Ren et al (2022),LOAlewife20180713001,12.6,20.36272727,NA,NA,-23.2,11.6,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Alewife,Composite whole fish homogenate,1,11,10/22/18,2018,ND,0.12196568,<0.12,0.57730422,0.130096726,0.081310453,ND,0.065048363,0.081310453,0.552911084,24.75090204,0.170751952,ND,0.081310453,0.284586587,0.414683313
#19 Ren et al (2022),LOAlewife20180713002,12.43636364,19.39636364,NA,NA,-23.2,11.6,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Alewife,Composite whole fish homogenate,1,11,10/22/18,2018,<0.052,0.161797707,0.137528051,0.671460484,0.161797707,0.080898854,ND,0.056629197,0.072808968,0.55820209,27.0687564,0.145617936,<0.030,0.088988739,0.315505529,0.469213351
#19 Ren et al (2022),LOAlewife20180713003,12.325,18.55333333,NA,NA,-23.2,11.6,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Alewife,Composite whole fish homogenate,1,12,10/22/18,2018,0.062952962,0.086560323,0.118036804,0.598053139,0.125905924,<0.059,ND,0.062952962,<0.059,0.511492816,28.02980631,0.188858886,ND,0.086560323,0.30689569,0.535100177
#19 Ren et al (2022),LODeepwaterSculpin20180623001,14.45714286,36.77,NA,NA,-24.1,16.5,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,7,11/1/18,2018,<0.052,0.022944385,0.994256676,7.839331487,1.086034216,ND,<0.11,3.571675907,<0.059,7.816387103,116.3509755,0.780109085,ND,0.504776467,1.674940093,5.437819207
#19 Ren et al (2022),LODeepwaterSculpin20180623002,13.9375,33.2,NA,NA,-24.1,16.5,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,8,11/1/18,2018,<0.052,0.023421027,0.484034562,4.98087178,0.710437824,ND,<0.11,2.709032144,<0.059,4.262626947,72.82378051,0.554297643,ND,0.351315408,1.334998549,3.364820905
#19 Ren et al (2022),LODeepwaterSculpin20180623003,14.1875,32.57625,NA,NA,-24.1,16.5,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,8,11/1/18,2018,<0.052,ND,0.616439607,5.175225538,0.888819898,ND,<0.11,2.616284379,<0.059,4.451267395,82.58857153,0.265212389,ND,0.451577852,1.533931115,3.619790716
#19 Ren et al (2022),LODeepwaterSculpin20180623004,14.2875,31.79625,NA,NA,-24.1,16.5,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,8,11/1/18,2018,<0.052,ND,0.598829745,5.568338929,0.9643492,ND,ND,3.896281849,ND,4.798414971,91.1232224,0.365519455,ND,0.412181513,1.539847916,4.35512542
#19 Ren et al (2022),LODeepwaterSculpin20180713001,12.95,33.165,NA,NA,-23.4,16.3,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,4,10/22/18,2018,0.287186732,0.023932228,2.863889911,17.94119334,5.257112679,0.446734917,<0.11,3.382421511,0.191457821,17.42266175,265.7992979,11.53533374,ND,1.43593366,6.413837016,22.6558422
#19 Ren et al (2022),LODeepwaterSculpin20180713002,12.9,31.73,NA,NA,-23.4,16.3,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,4,10/22/18,2018,<0.052,<0.021,1.016263796,11.68703365,1.743283281,0.211070173,<0.11,2.048162419,0.062539311,14.85308625,105.4021905,8.091023298,ND,0.484679657,1.821457419,9.013478128
#19 Ren et al (2022),LODeepwaterSculpin20180713003,12.475,32.825,NA,NA,-23.4,16.3,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Deepwater sculpin,Composite whole fish homogenate,1,4,10/22/18,2018,<0.052,<0.021,0.55552123,6.061716953,0.833281845,0.179727457,ND,2.001510315,<0.059,7.720111214,58.90975869,2.957333608,ND,0.261421755,0.947653863,4.436000412
#19 Ren et al (2022),LORainbowSmelt20180623001,10.3,5.466,NA,NA,-24.5,13.8,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Rainbow smelt,Composite whole fish homogenate,1,10,11/1/18,2018,ND,ND,<0.12,0.818323534,0.138822742,ND,ND,0.109596902,<0.059,1.008291497,18.4341989,0.153435663,ND,0.094983982,0.292258405,0.438387608
#19 Ren et al (2022),LORainbowSmelt20180623002,10.15,5.192,NA,NA,-24.5,13.8,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Rainbow smelt,Composite whole fish homogenate,1,10,11/1/18,2018,<0.052,ND,0.125099432,0.758415304,0.125099432,ND,ND,0.078187145,0.078187145,0.914789593,17.13862212,0.179830433,ND,0.093824574,0.281473721,0.586403585
#19 Ren et al (2022),LORainbowSmelt20180623003,10.01,5.347,NA,NA,-24.5,13.8,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Rainbow smelt,Composite whole fish homogenate,1,10,11/1/18,2018,<0.052,0.036105765,<0.12,0.801547993,0.129980756,ND,ND,0.137201909,<0.059,0.902644137,17.61239239,0.173307674,ND,0.086653837,0.281624971,0.498259563
#19 Ren et al (2022),LORainbowSmelt20180713001,10.83333333,7.64,NA,NA,-24.8,13.2,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Rainbow smelt,Composite whole fish homogenate,1,3,10/22/18,2018,0.537559277,0.063242268,<0.12,1.04349742,0.213442654,0.071147551,ND,0.15810567,<0.059,1.343898193,25.14670677,0.450601159,ND,0.126484536,0.49803286,0.529653994
#19 Ren et al (2022),LORainbowSmelt20180713002,10.925,6.77,NA,NA,-24.8,13.2,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Rainbow smelt,Composite whole fish homogenate,1,4,10/22/18,2018,ND,<0.021,<0.12,0.745316608,0.109836132,<0.059,ND,0.109836132,ND,0.886534492,15.67518508,0.290281205,ND,0.086299818,0.274590329,0.509953469
#19 Ren et al (2022),LORainbowSmelt20180713003,10.95,6.66,NA,NA,-24.8,13.2,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Rainbow smelt,Composite whole fish homogenate,1,4,10/22/18,2018,ND,<0.021,<0.12,0.795210683,0.124738931,<0.059,ND,0.155923663,<0.059,1.091465643,17.90003655,0.358624426,<0.030,<0.081,0.327439693,0.428790074
#19 Ren et al (2022),LORoundGoby20180623001,9.59,14.576,NA,NA,-23.9,14.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Round goby,Composite whole fish homogenate,1,10,11/1/18,2018,0.352281235,0.088070309,0.160127834,1.489188859,0.504402678,0.080063917,<0.11,<0.051,ND,0.592472987,14.25137725,0.208166185,ND,0.32826206,0.696556079,1.369092983
#19 Ren et al (2022),LORoundGoby20180623002,9.52,14.527,NA,NA,-23.9,14.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Round goby,Composite whole fish homogenate,1,10,11/1/18,2018,ND,0.162210339,0.162210339,1.313131313,0.417112299,0.092691622,<0.11,ND,<0.059,0.486631016,11.68686869,0.200831848,ND,0.254901961,0.540701129,1.081402258
#19 Ren et al (2022),LORoundGoby20180623003,9.71,14.912,NA,NA,-23.9,14.4,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Pisces,Round goby,Composite whole fish homogenate,1,10,11/1/18,2018,ND,0.072592893,0.217778678,1.597043637,0.524282002,0.072592893,<0.11,ND,<0.059,0.637204279,13.27643346,0.201646924,ND,0.306503324,0.693665418,1.677702406
#19 Ren et al (2022),LORoundGoby20180713001,9.990909091,20.62272727,NA,NA,-24,13.2,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Round goby,Composite whole fish homogenate,1,11,10/22/18,2018,ND,<0.021,<0.12,0.704404885,0.277013157,ND,<0.11,ND,<0.059,0.221610526,6.450449229,0.079146616,ND,0.229525187,0.514453006,0.783551501
#19 Ren et al (2022),LORoundGoby20180713002,10.01818182,20.22,NA,NA,-24,13.2,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Round goby,Composite whole fish homogenate,1,11,10/22/18,2018,ND,<0.021,<0.12,0.557068034,0.218310446,<0.059,<0.11,<0.051,<0.059,0.195726606,5.42012141,0.158086874,ND,0.173142767,0.29358991,0.526956248
#19 Ren et al (2022),LORoundGoby20180713003,10.22727273,20.72,NA,NA,-24,13.2,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Pisces,Round goby,Composite whole fish homogenate,1,11,10/22/18,2018,ND,0.277201147,<0.12,0.708402931,0.254101051,<0.059,<0.11,<0.051,0.077000319,0.223300924,6.344826254,0.100100414,ND,0.184800765,0.338801402,0.924003823
#19 Ren et al (2022),LOFE_2018_mysis_1,NA,NA,NA,NA,-24.6,12.9,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,7/11/18,2018,ND,ND,<0.12,0.579585338,0.13198478,ND,ND,0.26396956,ND,1.090309051,6.105730685,0.631231556,ND,<0.081,0.252492622,0.642708493
#19 Ren et al (2022),LOFE_2018_mysis_2,NA,NA,NA,NA,-24.6,12.9,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,7/11/18,2018,<0.052,ND,<0.12,0.535913375,0.121547363,ND,ND,0.209945446,<0.059,0.883980824,5.0663151,0.453040173,ND,<0.081,0.215470326,0.453040173
#19 Ren et al (2022),LOFE_2018_mysis_3,NA,NA,NA,NA,-24.6,12.9,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,7/11/18,2018,ND,<0.021,<0.12,0.618624747,0.129616614,ND,ND,0.27690822,<0.059,1.036932909,5.868097601,0.489008133,ND,<0.081,0.271016556,0.536141448
#19 Ren et al (2022),LOFE_2018_mysis_4LD_avg,NA,NA,NA,NA,-24.6,12.9,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,2,NA,7/11/18,2018,ND,<0.021,<0.12,0.521638102,0.119625485,ND,ND,0.29349887,<0.059,0.958646852,5.540961595,0.501279055,ND,<0.081,0.233196825,0.466836561
#19 Ren et al (2022),LOFE_2018_oligochaete_1,NA,NA,NA,NA,-22.8,15.8,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Annelida,Oligochaeta,Bulk composite,1,NA,6/14/18,2018,ND,1.18699187,0.406504065,3.666666667,0.276422764,11.53658537,0.178861789,0.93495935,12.72357724,10.33333333,34.4796748,53.23577236,2.447154472,0.398373984,0.430894309,1.715447154
#19 Ren et al (2022),LOFE_2018_waterflea_1,NA,NA,NA,NA,-32.5,9.01,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,"Shrimp, water fleas, and allies",Daphnia spp.,Bulk composite,1,NA,7/11/18,2018,ND,<0.021,ND,<0.075,<0.083,ND,ND,<0.051,<0.059,<0.071,2.17254283,<0.048,ND,ND,<0.097,<0.12
#19 Ren et al (2022),LOFE_2018_zoop_118um_1,NA,NA,NA,NA,-30.4,7.08,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Zooplankton,Zooplankton,Bulk composite,1,NA,7/11/18,2018,ND,0.210977717,ND,<0.075,<0.083,ND,ND,<0.051,0.059073761,<0.071,1.223670757,ND,ND,ND,<0.097,0.12658663
#19 Ren et al (2022),LOFE_2018_zoop_243um_1,NA,NA,NA,NA,-30.4,7.08,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Zooplankton,Zooplankton,Bulk composite,1,NA,7/11/18,2018,<0.052,ND,0.136805362,0.225326479,<0.083,ND,ND,<0.051,<0.059,0.249468602,5.005466789,<0.048,ND,<0.081,<0.097,0.249468602
#19 Ren et al (2022),LOFE_2018_zoop_500um_1,NA,NA,NA,NA,-30.4,7.08,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Zooplankton,Zooplankton,Bulk composite,1,NA,7/11/18,2018,0.116794079,0.101221535,ND,0.093435264,ND,ND,ND,ND,<0.059,0.124580351,2.756340273,<0.048,ND,ND,<0.097,<0.12
#19 Ren et al (2022),LOFE_2018_zoop_63um_1,NA,NA,NA,NA,-30.4,7.08,Lake Ontario,"Oswego, NY (P614)",43.5141667,-76.68527778,Zooplankton,Zooplankton,Bulk composite,1,NA,7/11/18,2018,ND,0.094006248,<0.12,<0.075,<0.083,ND,ND,<0.051,<0.059,<0.071,0.642376025,<0.048,ND,ND,<0.097,<0.12
#19 Ren et al (2022),LOFO_2018_mysis_1,NA,NA,NA,NA,-25.6,13.1,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,6/14/18,2018,ND,0.037858718,<0.12,1.27205291,0.159006614,ND,<0.11,0.249867536,ND,2.006512031,7.268873774,1.075187579,ND,<0.081,0.318013228,0.757174351
#19 Ren et al (2022),LOFO_2018_mysis_5,NA,NA,NA,NA,-25.6,13.1,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,6/14/18,2018,ND,ND,ND,0.526909189,0.126458205,ND,<0.11,0.191794945,ND,0.307714966,5.372366089,0.535339736,ND,<0.081,0.282423325,0.252916411
#19 Ren et al (2022),LOFO_2018_mysis_6,NA,NA,NA,NA,-25.6,13.1,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,6/14/18,2018,ND,0.062997645,<0.12,0.836968711,0.179993271,ND,<0.11,0.206992262,ND,1.430946507,9.62064035,0.746972076,ND,0.089996636,0.332987552,0.485981832
#19 Ren et al (2022),LOFO_2018_mysis_7,NA,NA,NA,NA,-25.6,13.1,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,"Shrimp, water fleas, and allies",Mysis relicta,Bulk composite,1,NA,6/14/18,2018,ND,ND,<0.12,0.556806368,0.105341745,ND,<0.11,0.188110259,ND,0.948075707,5.026306128,0.481562264,ND,<0.081,0.293452005,0.300976415
#19 Ren et al (2022),LOFO_2018_zoop_118um_1,NA,NA,NA,NA,-35.1,11.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Zooplankton,Zooplankton,Bulk composite,1,NA,6/14/18,2018,0.213350056,ND,ND,ND,ND,ND,ND,ND,ND,<0.071,0.302819434,ND,<0.030,ND,ND,<0.12
#19 Ren et al (2022),LOFO_2018_zoop_118um_2,NA,NA,NA,NA,-35.1,11.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Zooplankton,Zooplankton,Bulk composite,1,NA,6/14/18,2018,0.067811372,ND,ND,ND,ND,ND,ND,<0.051,ND,<0.071,0.474679607,ND,ND,ND,ND,<0.12
#19 Ren et al (2022),LOFO_2018_zoop_243um_1,NA,NA,NA,NA,-35.1,11.5,Lake Ontario,"North Hamlin, NY (P607)",43.3275,-77.5625,Zooplankton,Zooplankton,Bulk composite,1,NA,6/14/18,2018,0.137477253,0.173655477,ND,<0.075,ND,ND,ND,<0.051,ND,<0.071,0.730800134,<0.048,ND,ND,ND,<0.12
