Author (Citation),Sample ID,Total Length (cm),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,8:2 Cl-PFESA ,8:2 FTSA,4:2 FTSA,6:2 FTSA,ADONA,6:2 Cl-PFESA ,Gen-X,NEtFOSE,NEtFOSA,NEtFOSAA,NMeFOSAA,NMeFOSE,NMeFOSA,PFTeDA,PFBS,PFBA,PFDS,PFDA,PFDoS,PFDoA,PFHpS,PFHpA,PFHxS,PFHxA,PFNS,PFNA,PFOSA,PFOS,PFOA,PFPeS,PFPeA,PFTrDA,PFUnA
#34 NRSA FTS (2018-2019),897053,29.44,Lake Ontario,NY,Hudson River,43.24866,-73.74078,Pisces,Smallmouth bass,Composite fillet,1,5,8/2/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.509,<0.097,<0.551,<0.207,0.416,<0.291,1.03,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,0.179,1.47,<0.162,<0.129,<0.192,1.28,2.03
#34 NRSA FTS (2018-2019),129453,28.56,Lake Ontario,NY,Tioughnioga River,42.31674,-75.94377,Pisces,Smallmouth bass,Composite fillet,1,5,7/11/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.224,<0.291,0.227,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,1.75,<0.162,<0.129,<0.192,<0.398,0.516
#34 NRSA FTS (2018-2019),897033,39.36,Lake Ontario,NY,Hudson River,43.30507,-73.59359,Pisces,Smallmouth bass,Composite fillet,1,5,7/31/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.963,<0.097,<0.551,<0.207,0.411,<0.291,0.896,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,1.83,<0.162,<0.129,<0.192,1.69,1.51
#34 NRSA FTS (2018-2019),108113,30.66,Lake Ontario,NY,Susquehanna River,42.54433,-74.95157,Pisces,Largemouth bass,Composite fillet,1,5,6/10/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.535,<0.291,0.301,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,3.23,<0.162,<0.129,<0.192,0.723,<0.151
#34 NRSA FTS (2018-2019),897753,27.4,Lake Ontario,NY,Chenango River,42.45675,-75.5703,Pisces,Smallmouth bass,Composite fillet,1,3,9/7/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.232,<0.291,0.212,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,1.5,<0.162,<0.129,<0.192,<0.398,0.531
#34 NRSA FTS (2018-2019),105793,49.52,Lake Ontario,NY,Susquehanna River,42.07086,-75.80974,Pisces,White sucker,Composite fillet,1,5,8/30/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.546,<0.291,0.323,<0.154,<0.17,<0.153,<0.203,<0.155,0.38,<0.152,4.25,<0.162,<0.129,<0.192,0.463,0.894
#34 NRSA FTS (2018-2019),108333,52.75,Lake Erie,OH,Tuscarawas River,40.58128,-81.39514,Pisces,Channel catfish,Composite fillet,1,2,9/18/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,1.41,<0.248,0.222,<0.304,<3.36,<0.288,0.386,<0.097,<0.551,<0.207,0.783,<0.291,0.709,<0.154,<0.17,<0.153,<0.203,<0.155,0.144,0.595,10.3,<0.162,<0.129,<0.192,0.44,0.448
#34 NRSA FTS (2018-2019),104033,51.14,Lake Erie,OH,Little Miami River,39.13619,-84.34206,Pisces,Channel catfish,Composite fillet,1,5,8/8/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.638,<0.097,<0.551,0.26,0.7,<0.291,0.909,<0.154,<0.17,<0.153,<0.203,<0.155,0.163,<0.152,2.86,<0.162,<0.129,<0.192,0.84,0.441
#34 NRSA FTS (2018-2019),898273,43.96,Lake Erie,OH,Ohio River,40.14887,-80.70356,Pisces,Channel catfish,Composite fillet,1,5,7/31/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.333,<0.097,<0.551,<0.207,0.203,<0.291,0.239,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,0.683,<0.162,<0.129,<0.192,0.605,0.239
#34 NRSA FTS (2018-2019),898233,37.36,Lake Erie,OH,Grand River,41.74292,-80.86952,Pisces,Walleye,Composite fillet,1,5,6/12/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.331,<0.097,<0.551,0.201,1.16,<0.291,0.395,<0.154,<0.17,<0.153,<0.203,<0.155,0.386,0.21,17.9,<0.162,<0.129,<0.192,0.57,0.982
#34 NRSA FTS (2018-2019),117753,49.975,Lake Erie,OH,Raccoon Creek,39.29525,-82.43441,Pisces,Common carp,Composite fillet,1,4,6/11/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,3.62,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,<0.116,<0.291,0.225,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,5.8,<0.162,<0.129,<0.192,<0.398,<0.151
#34 NRSA FTS (2018-2019),889813,36.74,Lake Erie,OH,Big Walnut Creek,39.85433,-82.95791,Pisces,Smallmouth bass,Composite fillet,1,5,7/30/18,2018,<0.889,<0.67,<0.234,2.54,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,2.62,<0.097,<0.551,1.11,1.89,<0.291,4.37,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,0.434,31.1,<0.162,<0.129,<0.192,2.01,2.45
#34 NRSA FTS (2018-2019),889713,28.54,Lake Erie,OH,Auglaize River,41.13508,-84.43128,Pisces,White crappie,Composite fillet,1,5,6/6/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,0.367,1.21,<0.291,0.26,<0.154,<0.17,<0.153,<0.203,<0.155,0.288,<0.152,24.3,<0.162,<0.129,<0.192,<0.398,0.489
#34 NRSA FTS (2018-2019),889673,43.98,Lake Erie,OH,Ohio River,40.5069,-80.61779,Pisces,Channel catfish,Composite fillet,1,5,8/2/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.247,<0.291,0.338,<0.154,<0.17,<0.153,<0.203,<0.155,0.202,<0.152,1.14,<0.162,<0.129,<0.192,<0.398,0.379
#34 NRSA FTS (2018-2019),898253,46.6,Lake Erie,OH,Scioto River,39.48827,-82.99489,Pisces,Channel catfish,Composite fillet,1,5,8/1/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.676,<0.097,<0.551,0.409,1.19,<0.291,1.24,<0.154,<0.17,<0.153,<0.203,<0.155,0.226,<0.152,5.9,<0.162,<0.129,<0.192,0.861,0.713
#34 NRSA FTS (2018-2019),134893,20.6,Lake Erie,PA,Tioga River,41.92258,-77.12923,Pisces,Rock bass,Composite fillet,1,6,9/25/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.529,<0.291,0.365,<0.154,<0.17,<0.153,<0.203,<0.155,0.188,<0.152,3.05,<0.162,<0.129,<0.192,0.434,0.809
#34 NRSA FTS (2018-2019),129593,41.9,Lake Erie,PA,Susquehanna River,40.4918,-76.94813,Pisces,Smallmouth bass,Composite fillet,1,4,7/17/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.727,<0.097,<0.551,<0.207,0.582,<0.291,0.637,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,0.314,7.83,<0.162,<0.129,<0.192,1.38,1.1
#34 NRSA FTS (2018-2019),101873,68.5,Lake Erie,PA,Chemung River,41.9999,-76.62264,Pisces,Channel catfish,Composite fillet,1,2,8/8/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,0.253,0.29,<0.291,0.322,<0.154,<0.17,<0.153,<0.203,<0.155,0.202,<0.152,2.05,<0.162,<0.129,<0.192,0.408,0.452
#34 NRSA FTS (2018-2019),898013,53.875,Lake Erie,PA,West Branch Susquehanna River,41.06235,-76.8562,Pisces,Walleye,Composite fillet,1,4,6/27/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.38,<0.097,<0.551,<0.207,0.653,<0.291,0.534,<0.154,<0.17,<0.153,<0.203,<0.155,0.202,0.242,8.72,<0.162,<0.129,<0.192,0.742,0.7
#34 NRSA FTS (2018-2019),124633,57.3,Lake Erie,PA,Susquehanna River,41.71462,-76.32307,Pisces,Channel catfish,Composite fillet,1,4,7/24/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.473,<0.097,<0.551,<0.207,0.288,<0.291,0.25,<0.154,<0.17,<0.153,<0.203,<0.155,0.153,<0.152,1.03,<0.162,<0.129,<0.192,0.864,0.865
#34 NRSA FTS (2018-2019),134933,49.3,Lake Erie,PA,Schuylkill River,39.92203,-75.21126,Pisces,Channel catfish,Composite fillet,1,2,8/14/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.737,<0.097,<0.551,<0.207,0.406,<0.291,0.912,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,0.944,<0.162,<0.129,<0.192,1.21,0.871
#34 NRSA FTS (2018-2019),134953,28.78,Lake Erie,PA,Lehigh River,40.9781,-75.73481,Pisces,Brown trout,Composite fillet,1,5,9/10/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.404,<0.097,<0.551,0.265,0.56,<0.291,0.64,<0.154,<0.17,<0.153,<0.203,<0.155,0.352,<0.152,4.47,<0.162,<0.129,<0.192,0.831,0.996
#34 NRSA FTS (2018-2019),134153,38.52,Lake Erie,PA,Delaware River,41.39962,-74.73714,Pisces,Smallmouth bass,Composite fillet,1,5,11/6/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.365,<0.097,<0.551,<0.207,0.785,<0.291,0.789,<0.154,<0.17,<0.153,<0.203,<0.155,0.182,<0.152,6.19,<0.162,<0.129,<0.192,0.84,1.84
#34 NRSA FTS (2018-2019),129093,32.44,Lake Erie,PA,Allegheny River,41.04799,-79.66243,Pisces,Smallmouth bass,Composite fillet,1,5,8/1/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.31,<0.097,<0.551,<0.207,0.309,<0.291,0.332,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,0.219,2.93,<0.162,<0.129,<0.192,0.68,0.629
#34 NRSA FTS (2018-2019),889313,25.16,Lake Ontario,VT,Connecticut River,42.79337,-72.52477,Pisces,Yellow perch,Composite fillet,1,5,6/19/18,2018,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,0.418,<0.097,<0.551,<0.207,0.187,<0.291,0.443,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,0.954,<0.162,<0.129,<0.192,0.742,0.394
#34 NRSA FTS (2018-2019),120633,35.64,Lake Michigan,WI,Mississippi River,42.53137,-90.64118,Pisces,Largemouth bass,Composite fillet,1,5,8/19/19,2019,<0.889,<0.67,<0.234,0.436,<0.884,<0.708,<0.46,<1.45,<0.248,0.16,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,2.43,0.686,<0.291,0.411,<0.154,<0.17,<0.153,<0.203,<0.155,0.22,<0.152,21.5,<0.162,<0.129,<0.192,<0.398,0.654
#34 NRSA FTS (2018-2019),120513,38.1,Lake Michigan,WI,Wisconsin River,43.21793,-89.82451,Pisces,Smallmouth bass,Composite fillet,1,5,6/25/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,1.38,<0.304,<3.36,<0.288,0.579,<0.097,<0.551,0.375,1.13,<0.291,1.33,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,2.87,43.1,<0.162,<0.129,<0.192,1.13,1.34
#34 NRSA FTS (2018-2019),120533,34.02,Lake Superior; Lake Michigan,WI,Pine River,45.84305,-88.14312,Pisces,Smallmouth bass,Composite fillet,1,5,7/9/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.383,<0.291,<0.156,<0.154,<0.17,<0.153,<0.203,<0.155,0.14,<0.152,2.94,<0.162,<0.129,<0.192,<0.398,0.606
#34 NRSA FTS (2018-2019),120873,31.78,Lake Michigan,WI,Fox River,44.0246,-88.79457,Pisces,Largemouth bass,Composite fillet,1,5,8/6/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.475,<0.291,<0.156,<0.154,<0.17,<0.153,<0.203,<0.155,0.143,<0.152,3.74,<0.162,<0.129,<0.192,<0.398,0.385
#34 NRSA FTS (2018-2019),120833,37.56,Lake Superior; Lake Michigan,WI,Chippewa River,44.4222,-92.08192,Pisces,Smallmouth bass,Composite fillet,1,5,9/24/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,1.28,0.484,<0.291,0.315,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,0.163,10.1,<0.162,<0.129,<0.192,0.453,0.586
#34 NRSA FTS (2018-2019),120753,36.06,Lake Michigan,WI,Wolf River,44.40004,-88.77582,Pisces,Smallmouth bass,Composite fillet,1,5,8/7/19,2019,<0.889,<0.67,<0.234,<0.404,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.337,<0.291,0.201,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,<0.152,5.46,<0.162,<0.129,<0.192,<0.398,0.413
#34 NRSA FTS (2018-2019),120733,47.5,Lake Superior; Lake Michigan,WI,Pine River,45.83589,-88.2064,Pisces,White sucker,Composite fillet,1,5,9/6/19,2019,<0.889,<0.67,<0.234,9.12,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.35,<0.291,<0.156,<0.154,<0.17,<0.153,<0.203,<0.155,0.435,<0.152,1.79,<0.162,<0.129,<0.192,<0.398,0.544
#34 NRSA FTS (2018-2019),120713,34.88,Lake Michigan,WI,Rock River,42.52288,-89.03751,Pisces,Smallmouth bass,Composite fillet,1,5,7/31/19,2019,<0.889,<0.67,<0.234,1.09,<0.884,<0.708,<0.46,<1.45,<0.248,<0.143,<0.304,<3.36,<0.288,<0.309,<0.097,<0.551,<0.207,0.726,<0.291,0.363,<0.154,<0.17,<0.153,<0.203,<0.155,<0.129,0.151,7.28,<0.162,<0.129,<0.192,<0.398,0.702
