Author (Citation),Sample ID,Total Length (cm),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDA,PFDoA,PFHpA,PFHxS,PFHxA,PFNA,PFOSA,PFOS,PFOA,PFPeA,PFUnA
#34 NRSA FTS (2013-2014),749551,51.8,Lake Michigan,IL,Illinois River,39.20865,-90.59292,Pisces,Channel catfish,Composite fillet,1,5,8/20/14,2014,<0.1,<0.1,0.645,0.237,<0.06,<0.066,<0.052,0.17,0.14,5.64,<0.11,<0.069,0.438
#34 NRSA FTS (2013-2014),725311,26.675,Lake Michigan,IL,Green River,41.48585,-89.84848,Pisces,Largemouth bass,Composite fillet,1,4,8/13/13,2013,<0.1,<0.1,0.688,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,6.2,<0.11,<0.069,0.882
#34 NRSA FTS (2013-2014),749571,29.075,Lake Michigan,IL,Mississippi River,37.00011,-89.26342,Pisces,Freshwater drum,Composite fillet,1,4,8/19/14,2014,<0.1,<0.1,1.27,0.666,<0.06,0.621,<0.052,0.724,<0.071,28.9,0.12,<0.069,1.53
#34 NRSA FTS (2013-2014),722951,55.18,Lake Michigan,IL,Mississippi River,40.47669,-91.36704,Pisces,Channel catfish,Composite fillet,1,5,8/22/14,2014,<0.1,<0.1,0.326,0.65,<0.06,<0.066,<0.052,0.144,0.86,17.7,<0.11,<0.069,0.186
#34 NRSA FTS (2013-2014),766111,35.53333333,Lake Michigan,IL,Fox Creek,40.78506,-90.13891,Pisces,River carpsucker,Composite fillet,1,3,9/19/14,2014,<0.1,<0.1,0.329,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,1.21,<0.11,<0.069,0.195
#34 NRSA FTS (2013-2014),749471,23.32,Lake Michigan,IL,Kankakee River,41.15196,-87.91418,Pisces,Smallmouth bass,Composite fillet,1,5,9/5/14,2014,<0.1,<0.1,5.32,2,<0.06,<0.066,<0.052,<0.043,0.277,9.53,0.183,<0.069,1.47
#34 NRSA FTS (2013-2014),709371,46.34,Lake Michigan,IL,Rock River,41.90002,-89.48215,Pisces,Channel catfish,Composite fillet,1,5,7/30/14,2014,<0.1,<0.1,0.356,<0.059,<0.06,<0.066,0.275,<0.043,<0.071,5.48,<0.11,<0.069,<0.074
#34 NRSA FTS (2013-2014),751231,51.54,Lake Michigan,IL,Fox River,42.21645,-88.18891,Pisces,Channel catfish,Composite fillet,1,5,7/22/14,2014,<0.1,<0.1,0.91,0.48,<0.06,<0.066,<0.052,<0.043,<0.071,25.5,<0.11,<0.069,0.454
#34 NRSA FTS (2013-2014),745411,48.72,Lake Michigan,IL,Rock River,42.47833,-89.05604,Pisces,Channel catfish,Composite fillet,1,5,7/29/14,2014,<0.1,0.52,0.588,0.341,<0.06,<0.066,<0.052,<0.043,<0.071,4.98,<0.11,<0.069,0.447
#34 NRSA FTS (2013-2014),741031,46.55,Lake Michigan,IN,Wabash River,38.64279,-87.61438,Pisces,Channel catfish,Composite fillet,1,4,7/15/14,2014,<0.1,<0.1,0.335,0.362,<0.06,<0.066,<0.052,0.15,<0.071,11.6,<0.11,<0.069,0.787
#34 NRSA FTS (2013-2014),741051,26.5,Lake Michigan,IN,East Fork White River,38.83491,-86.52326,Pisces,Smallmouth bass,Composite fillet,1,5,7/16/14,2014,<0.1,<0.1,0.584,0.348,<0.06,<0.066,<0.052,0.11,<0.071,15.4,<0.11,<0.069,0.955
#34 NRSA FTS (2013-2014),740851,30.1,Lake Michigan,IN,Saint Joseph River,41.69465,-85.9174,Pisces,Smallmouth bass,Composite fillet,1,3,7/23/14,2014,<0.1,<0.1,0.426,0.215,<0.06,<0.066,<0.052,<0.043,0.16,8.77,<0.11,<0.069,0.327
#34 NRSA FTS (2013-2014),741011,34.7,Lake Michigan,IN,White River,38.45178,-87.598,Pisces,White bass,Composite fillet,1,2,8/12/14,2014,<0.1,0.115,4.63,2.24,<0.06,<0.066,<0.052,0.66,0.124,27.4,<0.11,<0.069,5.21
#34 NRSA FTS (2013-2014),704351,21.16666667,Lake Michigan,IN,Wabash River,40.79022,-85.82739,Pisces,White crappie,Composite fillet,1,3,7/8/14,2014,<0.1,<0.1,0.451,0.172,<0.06,0.8,<0.052,0.315,<0.071,34.7,<0.11,<0.069,0.427
#34 NRSA FTS (2013-2014),759491,41.26666667,Lake Ontario,ME,Saint John River,47.13183,-67.8981,Pisces,White sucker,Composite fillet,1,3,8/24/14,2014,<0.1,<0.1,0.621,0.629,<0.06,<0.066,<0.052,0.35,<0.071,2.18,0.134,<0.069,0.736
#34 NRSA FTS (2013-2014),751991,55.5,Lake Ontario,ME,Saint John River,47.15428,-68.94424,Pisces,Muskellunge,Fillet,1,1,7/16/14,2014,<0.1,<0.1,1,0.54,<0.06,<0.066,<0.052,0.198,<0.071,7.21,<0.11,<0.069,1.62
#34 NRSA FTS (2013-2014),765491,27.83333333,Lake Ontario,ME,East Branch Penobscot River,45.87867,-68.62034,Pisces,Smallmouth bass,Composite fillet,1,3,9/4/14,2014,<0.1,<0.1,2.14,0.763,<0.06,<0.066,<0.052,0.68,0.477,11.8,<0.11,<0.069,4.4
#34 NRSA FTS (2013-2014),760471,30,Lake Ontario,ME,Machias River,44.73738,-67.54984,Pisces,Smallmouth bass,Composite fillet,1,2,9/21/14,2014,<0.1,<0.1,0.644,0.617,<0.06,<0.066,<0.052,<0.043,<0.071,4.93,<0.11,<0.069,1.59
#34 NRSA FTS (2013-2014),752091,27.52,Lake Ontario,ME,Saco River,43.49885,-70.46423,Pisces,Smallmouth bass,Composite fillet,1,5,7/7/14,2014,<0.1,<0.1,0.431,0.777,<0.06,<0.066,1.44,<0.043,<0.071,3.61,<0.11,<0.069,0.941
#34 NRSA FTS (2013-2014),765411,31.875,Lake Ontario,ME,Pleasant River,45.25733,-68.94966,Pisces,Smallmouth bass,Composite fillet,1,4,9/1/14,2014,<0.1,<0.1,0.38,0.512,<0.06,<0.066,0.61,<0.043,<0.071,3.8,<0.11,<0.069,1.13
#34 NRSA FTS (2013-2014),746231,32.62,Lake Ontario,ME,Kennebec River,44.42155,-69.7056,Pisces,Smallmouth bass,Composite fillet,1,5,9/22/14,2014,<0.1,<0.1,4.78,2.66,<0.06,<0.066,<0.052,0.69,0.59,32.2,<0.11,<0.069,3.82
#34 NRSA FTS (2013-2014),760451,28.34,Lake Ontario,ME,Kennebec River,44.50109,-69.67614,Pisces,Smallmouth bass,Composite fillet,1,5,9/22/14,2014,<0.1,<0.1,3.83,1.74,<0.06,<0.066,<0.052,0.51,0.348,33.5,<0.11,<0.069,3.12
#34 NRSA FTS (2013-2014),765371,27.86666667,Lake Ontario,ME,East Branch Penobscot River,45.89867,-68.61411,Pisces,Smallmouth bass,Composite fillet,1,3,9/4/14,2014,<0.1,<0.1,0.434,0.313,<0.06,<0.066,0.69,<0.043,<0.071,6.48,<0.11,<0.069,0.991
#34 NRSA FTS (2013-2014),728771,34.12,Lake Michigan,MI,Grand River,43.05631,-85.59421,Pisces,Largemouth bass,Composite fillet,1,5,8/4/14,2014,<0.1,<0.1,1.75,0.93,<0.06,<0.066,<0.052,0.241,<0.071,67.5,<0.11,<0.069,1.77
#34 NRSA FTS (2013-2014),751411,35.56,Lake Huron; Lake Erie,MI,Saint Clair River,42.5523,-82.58846,Pisces,Smallmouth bass,Composite fillet,1,5,8/22/14,2014,<0.1,<0.1,1.26,1.26,<0.06,<0.066,<0.052,<0.043,0.131,21.9,<0.11,<0.069,2.57
#34 NRSA FTS (2013-2014),728791,38.94,Lake Michigan,MI,Saint Joseph River,42.06127,-86.4237,Pisces,Smallmouth bass,Composite fillet,1,5,6/16/14,2014,<0.1,<0.1,1.26,0.962,<0.06,<0.066,<0.052,<0.043,0.455,19.1,<0.11,<0.069,1.29
#34 NRSA FTS (2013-2014),751331,30.94,Lake Huron,MI,Cass River,43.34147,-83.62441,Pisces,Smallmouth bass,Composite fillet,1,5,7/21/14,2014,<0.1,<0.1,0.562,0.243,<0.06,<0.066,<0.052,<0.043,0.168,4.14,<0.11,<0.069,0.483
#34 NRSA FTS (2013-2014),751551,37.825,Lake Michigan,MI,Grand River,43.02234,-86.02397,Pisces,Largemouth bass,Composite fillet,1,4,8/6/14,2014,<0.1,<0.1,1.78,1.9,<0.06,<0.066,<0.052,<0.043,<0.071,73.6,<0.11,<0.069,1.61
#34 NRSA FTS (2013-2014),751291,43.83333333,Lake Huron,MI,Flint River,43.31097,-83.96788,Pisces,Walleye,Composite fillet,1,3,7/22/14,2014,<0.1,<0.1,1.95,0.67,<0.06,<0.066,<0.052,<0.043,0.377,49.9,<0.11,<0.069,2.19
#34 NRSA FTS (2013-2014),728751,60.26,Lake Michigan; Lake Huron; Lake Erie,MI,Grand River,42.82316,-84.93878,Pisces,Channel catfish,Composite fillet,1,5,6/2/14,2014,<0.1,<0.1,1.19,0.586,<0.06,<0.066,<0.052,<0.043,<0.071,5.23,<0.11,<0.069,2.1
#34 NRSA FTS (2013-2014),767811,29.3,Lake Michigan; Lake Huron; Lake Erie,MI,Grand River,42.54167,-84.62803,Pisces,Largemouth bass,Composite fillet,1,5,8/21/14,2014,<0.1,0.144,2.12,0.842,<0.06,<0.066,<0.052,0.75,<0.071,15.5,<0.11,<0.069,1.23
#34 NRSA FTS (2013-2014),751311,46.275,Lake Huron,MI,Au Sable River,44.64747,-84.09452,Pisces,Brown trout,Composite fillet,1,4,7/8/14,2014,<0.1,<0.1,<0.073,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,7.34,<0.11,<0.069,<0.074
#34 NRSA FTS (2013-2014),751271,28.32,Lake Huron,MI,Black River,43.00436,-82.52504,Pisces,Largemouth bass,Composite fillet,1,5,7/15/14,2014,<0.1,<0.1,1.44,0.753,<0.06,<0.066,<0.052,0.225,<0.071,27.9,<0.11,<0.069,1.46
#34 NRSA FTS (2013-2014),751451,43.96,Lake Michigan; Lake Huron,MI,Au Sable River,44.67449,-84.32747,Pisces,White sucker,Composite fillet,1,5,7/7/14,2014,<0.1,<0.1,0.123,0.93,<0.06,<0.066,<0.052,<0.043,<0.071,2.52,<0.11,<0.069,0.23
#34 NRSA FTS (2013-2014),719031,37.96,Lake Superior; Lake Michigan,MN,Mississippi River,44.13244,-91.72952,Pisces,Smallmouth bass,Composite fillet,1,5,7/11/13,2013,<0.1,<0.1,1.23,0.669,<0.06,<0.066,<0.052,<0.043,0.349,3.2,<0.11,<0.069,1.13
#34 NRSA FTS (2013-2014),721251,29.66666667,Lake Superior,MN,Big Fork River,48.48513,-93.72216,Pisces,Smallmouth bass,Composite fillet,1,3,8/19/14,2014,<0.1,<0.1,0.181,0.87,<0.06,<0.066,<0.052,0.66,<0.071,3.31,<0.11,<0.069,0.31
#34 NRSA FTS (2013-2014),728091,51.48,Lake Superior,MN,Des Moines River,43.7194,-95.04622,Pisces,Channel catfish,Composite fillet,1,5,8/21/13,2013,<0.1,<0.1,<0.073,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,1.36,<0.11,<0.069,<0.074
#34 NRSA FTS (2013-2014),723751,56.3,Lake Superior,MN,North Fork Crow River,45.12479,-93.99624,Pisces,Channel catfish,Fillet,1,1,7/30/13,2013,<0.1,<0.1,0.452,<0.059,<0.06,<0.066,<0.052,0.27,<0.071,9.4,<0.11,<0.069,0.446
#34 NRSA FTS (2013-2014),718931,44.24,Lake Superior,MN,Mississippi River,45.29729,-93.57205,Pisces,Smallmouth bass,Composite fillet,1,5,7/31/13,2013,<0.1,<0.1,1.1,0.818,<0.06,<0.066,<0.052,<0.043,<0.071,8.17,<0.11,<0.069,1.1
#34 NRSA FTS (2013-2014),739231,75.9,Lake Superior,MN,Saint Louis River,46.98702,-92.8115,Pisces,Northern pike,Fillet,1,1,6/18/14,2014,<0.1,<0.1,0.463,0.123,<0.06,<0.066,<0.052,0.351,0.36,4.82,<0.11,<0.069,0.422
#34 NRSA FTS (2013-2014),718991,38.24,Lake Superior,MN,Minnesota River,44.79956,-93.53312,Pisces,White bass,Composite fillet,1,5,7/19/13,2013,<0.1,<0.1,2.49,0.821,<0.06,<0.066,<0.052,0.489,0.424,33.6,<0.11,<0.069,1.48
#34 NRSA FTS (2013-2014),718871,38.84,Lake Superior,MN,Saint Croix River,45.56509,-92.7953,Pisces,Smallmouth bass,Composite fillet,1,5,7/18/13,2013,<0.1,<0.1,0.374,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,3.71,<0.11,<0.069,0.749
#34 NRSA FTS (2013-2014),739371,40.1,Lake Superior,MN,Rainy River,48.70306,-94.3357,Pisces,Smallmouth bass,Composite fillet,1,2,8/20/14,2014,<0.1,0.146,0.286,0.148,<0.06,<0.066,<0.052,<0.043,<0.071,2.5,<0.11,<0.069,0.627
#34 NRSA FTS (2013-2014),723811,63.4,Lake Superior,MN,South Fork Crow River,44.85127,-93.98283,Pisces,Common carp,Composite fillet,1,3,8/15/13,2013,<0.1,<0.1,0.61,<0.059,<0.06,<0.066,0.54,<0.043,<0.071,5.2,<0.11,<0.069,<0.074
#34 NRSA FTS (2013-2014),723911,57,Lake Superior,MN,North Fork Crow River,45.1924,-94.28959,Pisces,Channel catfish,Composite fillet,1,2,8/1/13,2013,<0.1,<0.1,<0.073,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,1.18,<0.11,<0.069,0.42
#34 NRSA FTS (2013-2014),708091,55.8,Lake Superior,MN,Mississippi River,45.23426,-93.49636,Pisces,Channel catfish,Composite fillet,1,4,6/18/13,2013,<0.1,<0.1,0.714,<0.059,<0.06,0.319,<0.052,<0.043,<0.071,1.7,<0.11,0.533,0.534
#34 NRSA FTS (2013-2014),723691,38.48,Lake Superior,MN,Mississippi River,44.80659,-93.01163,Pisces,White bass,Composite fillet,1,5,7/24/13,2013,<0.1,<0.1,2.6,0.915,<0.06,<0.066,<0.052,0.658,0.687,45,<0.11,<0.069,1.16
#34 NRSA FTS (2013-2014),718911,53.2,Lake Superior,MN,Maple River,43.90668,-94.0603,Pisces,Common carp,Fillet,1,1,8/6/13,2013,<0.1,<0.1,0.165,0.65,<0.06,<0.066,<0.052,0.99,<0.071,2.7,<0.11,<0.069,0.142
#34 NRSA FTS (2013-2014),739331,64.8,Lake Superior,MN,Mississippi River,47.2731,-93.78416,Pisces,Northern pike,Fillet,1,1,6/4/14,2014,<0.1,<0.1,0.128,<0.059,<0.06,0.133,<0.052,0.95,<0.071,1.24,0.129,<0.069,0.149
#34 NRSA FTS (2013-2014),739271,34.08,Lake Superior,MN,Cloquet River,46.94815,-92.43222,Pisces,Smallmouth bass,Composite fillet,1,5,6/14/14,2014,<0.1,<0.1,0.376,0.253,<0.06,<0.066,<0.052,<0.043,<0.071,1,<0.11,<0.069,0.831
#34 NRSA FTS (2013-2014),758371,37.95,Lake Superior,MN,Wild Rice River,47.25508,-96.20332,Pisces,Channel catfish,Composite fillet,1,2,8/5/14,2014,<0.1,<0.1,0.427,0.166,<0.06,<0.066,<0.052,<0.043,<0.071,7.65,<0.11,<0.069,0.411
#34 NRSA FTS (2013-2014),723791,52.2,Lake Superior,MN,Minnesota River,44.94299,-95.77757,Pisces,Channel catfish,Composite fillet,1,3,8/12/13,2013,<0.1,<0.1,<0.073,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,2.63,<0.11,<0.069,<0.074
#34 NRSA FTS (2013-2014),739071,42.58,Lake Superior,MN,Red River of the North,46.76493,-96.77698,Pisces,Channel catfish,Composite fillet,1,5,8/7/14,2014,<0.1,<0.1,0.464,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,2.34,<0.11,<0.069,0.422
#34 NRSA FTS (2013-2014),706751,26.8,Lake Ontario,NH,Connecticut River,44.24308,-72.04818,Pisces,Smallmouth bass,Composite fillet,1,5,7/24/14,2014,<0.1,<0.1,0.688,0.686,<0.06,<0.066,<0.052,<0.043,0.154,9.22,<0.11,<0.069,1.48
#34 NRSA FTS (2013-2014),706491,39.98,Lake Ontario,NH,Connecticut River,43.06807,-72.4487,Pisces,Walleye,Composite fillet,1,5,7/25/13,2013,<0.1,<0.1,0.631,0.455,<0.06,<0.066,<0.052,<0.043,<0.071,5.42,<0.11,<0.069,1.29
#34 NRSA FTS (2013-2014),706611,32.16,Lake Ontario,NH,Connecticut River,43.86581,-72.17822,Pisces,Smallmouth bass,Composite fillet,1,5,6/19/13,2013,<0.1,<0.1,0.457,<0.059,<0.06,<0.066,<0.052,0.252,<0.071,2.2,<0.11,0.484,0.722
#34 NRSA FTS (2013-2014),706591,34.375,Lake Ontario,NH,Merrimack River,43.19317,-71.52351,Pisces,Largemouth bass,Composite fillet,1,4,8/7/13,2013,<0.1,<0.1,0.941,0.914,<0.06,<0.066,<0.052,<0.043,<0.071,34.6,<0.11,0.436,1.61
#34 NRSA FTS (2013-2014),706511,44.88,Lake Ontario,NH,Connecticut River,43.35118,-72.39344,Pisces,Smallmouth bass,Composite fillet,1,5,7/18/13,2013,0.475,<0.1,1.14,0.942,<0.06,<0.066,0.318,<0.043,0.427,2.55,<0.11,<0.069,2.1
#34 NRSA FTS (2013-2014),706771,21.96,Lake Ontario,NH,Connecticut River,44.86397,-71.54817,Pisces,Brook trout,Composite fillet,1,5,7/17/14,2014,<0.1,<0.1,0.119,<0.059,<0.06,0.138,<0.052,0.135,<0.071,5.1,<0.11,<0.069,0.193
#34 NRSA FTS (2013-2014),714611,44.7,Lake Ontario,NY,Chenango River,42.42297,-75.63217,Pisces,Walleye,Composite fillet,1,5,9/5/13,2013,0.148,0.166,0.367,0.332,<0.06,<0.066,0.115,0.174,<0.071,3.79,<0.11,<0.069,0.594
#34 NRSA FTS (2013-2014),714471,40.66,Lake Ontario,NY,Chemung River,42.14603,-77.05409,Pisces,Smallmouth bass,Composite fillet,1,5,9/3/13,2013,<0.1,<0.1,0.979,0.711,<0.06,<0.066,<0.052,<0.043,<0.071,6.62,<0.11,<0.069,1.19
#34 NRSA FTS (2013-2014),714591,39.72,Lake Ontario,NY,Mohawk River,42.82852,-73.98933,Pisces,Smallmouth bass,Composite fillet,1,5,9/9/13,2013,<0.1,<0.1,5.8,2.86,<0.06,<0.066,<0.052,<0.043,0.488,19.5,<0.11,<0.069,4.15
