Author (Citation),Sample ID,Total Length (cm),Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBS,PFBA,PFDA,PFDoA,PFHpA,PFHxS,PFHxA,PFNA,PFOSA,PFOS,PFOA,PFPeA,PFUnA
#34 NRSA FTS (2013-2014),728471,43.7,Lake Ontario,NY,Chenango River,42.16144,-75.85678,Pisces,Smallmouth bass,Composite fillet,1,5,9/15/13,2013,<0.1,<0.1,0.788,0.447,<0.06,<0.066,<0.052,<0.043,<0.071,2.25,<0.11,<0.069,1.76
#34 NRSA FTS (2013-2014),756271,30.66,Lake Ontario,NY,Hudson River,43.24866,-73.74077,Pisces,Smallmouth bass,Composite fillet,1,5,7/18/14,2014,<0.1,0.111,0.427,0.992,<0.06,0.72,<0.052,<0.043,0.174,5.27,<0.11,<0.069,1.86
#34 NRSA FTS (2013-2014),714871,29.52,Lake Ontario,NY,Indian River,44.25928,-75.76743,Pisces,Brown bullhead,Composite fillet,1,5,7/24/13,2013,<0.1,<0.1,<0.073,<0.059,<0.06,<0.066,<0.052,<0.043,<0.071,6.85,<0.11,<0.069,0.664
#34 NRSA FTS (2013-2014),758651,43,Lake Ontario,NY,Hudson River,42.47413,-73.78702,Pisces,Channel catfish,Composite fillet,1,5,9/11/14,2014,<0.1,<0.1,0.595,0.61,<0.06,<0.066,<0.052,0.14,0.72,72.4,<0.11,<0.069,1.12
#34 NRSA FTS (2013-2014),715831,37.03333333,Lake Erie,NY,Olean Creek,42.08065,-78.42363,Pisces,Smallmouth bass,Composite fillet,1,3,9/5/13,2013,<0.1,<0.1,2.55,5.82,<0.06,<0.066,<0.052,<0.043,0.553,9.22,<0.11,<0.069,3.43
#34 NRSA FTS (2013-2014),715791,44.9,Lake Erie,NY,Allegheny River,42.06591,-78.46922,Pisces,Smallmouth bass,Composite fillet,1,2,9/4/13,2013,<0.1,<0.1,0.9,0.55,<0.06,<0.066,<0.052,0.222,<0.071,31.7,<0.11,<0.069,1.21
#34 NRSA FTS (2013-2014),714891,30.38,Lake Ontario,NY,Seneca River,43.13767,-76.29551,Pisces,Brown bullhead,Composite fillet,1,5,8/12/13,2013,<0.1,<0.1,0.62,0.559,<0.06,<0.066,<0.052,<0.043,<0.071,8.82,<0.11,<0.069,1.2
#34 NRSA FTS (2013-2014),715911,43.36,Lake Ontario,NY,Susquehanna River,42.02896,-76.39831,Pisces,Walleye,Composite fillet,1,5,9/9/13,2013,<0.1,<0.1,1.36,1.6,<0.06,<0.066,<0.052,<0.043,<0.071,17.9,<0.11,<0.069,2.73
#34 NRSA FTS (2013-2014),729071,45.02,Lake Ontario,NY,Mohawk River,42.93558,-74.19445,Pisces,Smallmouth bass,Composite fillet,1,5,9/11/13,2013,<0.1,<0.1,3.55,2.23,<0.06,<0.066,<0.052,0.452,0.496,5.97,<0.11,<0.069,3.52
#34 NRSA FTS (2013-2014),728551,43.62,Lake Ontario,NY,Chenango River,42.34775,-75.69644,Pisces,Walleye,Composite fillet,1,5,9/16/13,2013,<0.1,<0.1,0.572,0.416,<0.06,<0.066,<0.052,<0.043,<0.071,5.44,<0.11,<0.069,0.92
#34 NRSA FTS (2013-2014),756251,50.95,Lake Ontario,NY,Hudson River,43.25553,-73.5864,Pisces,Walleye,Composite fillet,1,2,7/7/14,2014,<0.1,<0.1,0.216,0.265,<0.06,<0.066,<0.052,<0.043,0.143,2.37,<0.11,<0.069,0.491
#34 NRSA FTS (2013-2014),714951,46.16666667,Lake Ontario; Lake Erie,NY,Genesee River,42.85984,-77.84331,Pisces,Walleye,Composite fillet,1,3,8/21/13,2013,<0.1,<0.1,1.18,0.624,<0.06,<0.066,<0.052,0.26,<0.071,8.19,<0.11,<0.069,1.33
#34 NRSA FTS (2013-2014),758611,44.5,Lake Ontario,NY,Hudson River,42.05576,-73.93195,Pisces,Largemouth bass,Composite fillet,1,2,9/9/14,2014,<0.1,<0.1,5,2.42,<0.06,0.71,<0.052,0.357,<0.071,24.3,<0.11,<0.069,5.37
#34 NRSA FTS (2013-2014),728511,36.72,Lake Ontario,NY,Susquehanna River,42.01278,-75.77946,Pisces,Smallmouth bass,Composite fillet,1,5,9/18/13,2013,<0.1,<0.1,0.55,0.562,<0.06,<0.066,<0.052,<0.043,<0.071,4.1,<0.11,<0.069,1.31
#34 NRSA FTS (2013-2014),741371,46.9,Lake Erie,OH,Paint Creek,39.30982,-82.9643,Pisces,Channel catfish,Composite fillet,1,5,6/16/14,2014,<0.1,<0.1,0.43,0.358,<0.06,<0.066,<0.052,<0.043,<0.071,15.3,<0.11,<0.069,0.623
#34 NRSA FTS (2013-2014),727011,34.88,Lake Erie,OH,Muskingum River,40.26612,-81.87411,Pisces,Smallmouth bass,Composite fillet,1,5,8/20/13,2013,<0.1,<0.1,2.25,0.884,<0.06,<0.066,<0.052,<0.043,1.42,33.6,<0.11,<0.069,1.7
#34 NRSA FTS (2013-2014),727031,35.66,Lake Erie,OH,Tuscarawas River,40.58128,-81.39514,Pisces,Smallmouth bass,Composite fillet,1,5,8/21/13,2013,<0.1,<0.1,3.42,2.58,<0.06,<0.066,<0.052,<0.043,3.1,84.1,<0.11,<0.069,2.82
#34 NRSA FTS (2013-2014),704211,51.12,Lake Erie,OH,Little Miami River,39.13619,-84.34206,Pisces,Channel catfish,Composite fillet,1,5,7/30/13,2013,<0.1,<0.1,1.84,1.35,<0.06,0.35,<0.052,<0.043,<0.071,6.47,<0.11,<0.069,1.19
#34 NRSA FTS (2013-2014),726971,41.7,Lake Erie,OH,Muskingum River,39.46603,-81.48059,Pisces,Channel catfish,Composite fillet,1,5,8/19/13,2013,<0.1,<0.1,0.617,0.397,<0.06,<0.066,<0.052,<0.043,<0.071,1.5,<0.11,<0.069,0.666
#34 NRSA FTS (2013-2014),741351,52.7,Lake Erie,OH,Scioto River,38.82668,-83.01769,Pisces,Channel catfish,Composite fillet,1,5,6/18/14,2014,<0.1,<0.1,0.984,0.717,<0.06,<0.066,<0.052,<0.043,<0.071,11.5,<0.11,<0.069,1.7
#34 NRSA FTS (2013-2014),714571,38.04,Lake Erie,OH,Sandusky River,41.02829,-83.21295,Pisces,Channel catfish,Composite fillet,1,5,6/23/13,2013,<0.1,<0.1,0.549,0.48,<0.06,0.347,<0.052,<0.043,<0.071,6.37,<0.11,<0.069,0.749
#34 NRSA FTS (2013-2014),712951,30.3,Lake Erie,OH,Mahoning River,41.20854,-80.81059,Pisces,Smallmouth bass,Composite fillet,1,3,8/1/13,2013,<0.1,<0.1,1.6,1.26,<0.06,<0.066,<0.052,<0.043,0.76,15.7,<0.11,<0.069,1.48
#34 NRSA FTS (2013-2014),714491,46.12,Lake Erie,OH,Maumee River,41.2338,-84.59052,Pisces,Channel catfish,Composite fillet,1,5,6/24/13,2013,<0.1,<0.1,1.51,0.565,<0.06,<0.066,<0.052,0.26,<0.071,8.42,<0.11,<0.069,0.983
#34 NRSA FTS (2013-2014),736451,28.3,Lake Erie,PA,Clarion River,41.41992,-78.74775,Pisces,Smallmouth bass,Composite fillet,1,5,7/1/14,2014,<0.1,<0.1,0.546,0.445,<0.06,<0.066,<0.052,<0.043,<0.071,1.6,<0.11,<0.069,0.678
#34 NRSA FTS (2013-2014),703811,32.76,Lake Erie,PA,Allegheny River,41.47516,-79.51793,Pisces,Smallmouth bass,Composite fillet,1,5,8/6/13,2013,<0.1,<0.1,1.72,1.3,<0.06,<0.066,<0.052,<0.043,<0.071,14.2,<0.11,<0.069,2.16
#34 NRSA FTS (2013-2014),704751,19.8,Lake Erie,PA,Tioga River,41.92258,-77.12923,Pisces,Rock bass,Composite fillet,1,5,8/21/13,2013,<0.1,<0.1,1.3,<0.059,<0.06,<0.066,<0.052,0.58,<0.071,4.49,<0.11,<0.069,0.98
#34 NRSA FTS (2013-2014),736471,41.4,Lake Erie,PA,Susquehanna River,40.4918,-76.94813,Pisces,Smallmouth bass,Composite fillet,1,3,8/28/14,2014,<0.1,<0.1,1.15,0.788,<0.06,<0.066,<0.052,0.71,<0.071,12,<0.11,<0.069,1.36
#34 NRSA FTS (2013-2014),726951,33.46,Lake Erie,PA,Beaver River,40.93107,-80.37396,Pisces,Smallmouth bass,Composite fillet,1,5,8/27/13,2013,<0.1,<0.1,2.34,1.85,<0.06,<0.066,<0.052,<0.043,0.437,21,<0.11,<0.069,2.6
#34 NRSA FTS (2013-2014),706831,44.3,Lake Erie,PA,Susquehanna River,41.9699,-76.51192,Pisces,Smallmouth bass,Composite fillet,1,3,9/25/13,2013,<0.1,<0.1,0.733,0.535,<0.06,<0.066,<0.052,<0.043,<0.071,6.69,<0.11,<0.069,1.46
#34 NRSA FTS (2013-2014),739731,19.21,Lake Erie,PA,Pine Creek,41.28871,-77.34123,Pisces,Rock bass,Composite fillet,1,10,9/16/14,2014,<0.1,<0.1,0.289,0.259,<0.06,<0.066,<0.052,<0.043,<0.071,6.32,<0.11,<0.069,0.554
#34 NRSA FTS (2013-2014),705331,24.92,Lake Erie,PA,Slippery Rock Creek,41.02419,-80.16323,Pisces,Smallmouth bass,Composite fillet,1,5,8/27/13,2013,<0.1,<0.1,1.36,0.474,<0.06,<0.066,<0.052,<0.043,<0.071,5.84,<0.11,<0.069,1.24
#34 NRSA FTS (2013-2014),759171,47.425,Lake Erie,PA,Schuylkill River,40.14318,-75.51026,Pisces,Channel catfish,Composite fillet,1,4,7/8/14,2014,<0.1,<0.1,1.59,1.66,<0.06,<0.066,<0.052,0.192,0.142,4.39,<0.11,<0.069,2.31
