Author (Citation),Sample ID,Waterbody,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFBA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFBS,PFHxS,PFOS,PFDS,NMeFOSAA,NEtFOSAA,PFOSA
#45 Brase et al (2022),#45 BRASE 92,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,1.11,<0.08,<0.12,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,0.71,<0.55,<0.18,<0.16,0.15
#45 Brase et al (2022),#45 BRASE 93,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,1.11,0.11,0.2,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,1.08,<0.55,<0.18,<0.16,0.13
#45 Brase et al (2022),#45 BRASE 94,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,1.64,0.14,0.22,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,1.68,<0.55,<0.18,<0.16,0.22
#45 Brase et al (2022),#45 BRASE 95,Lake Ontario,"Hoosic River, Upstream",42.8597623,-73.33928746,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,2.69,0.18,0.4,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,1.47,<0.55,<0.18,<0.16,0.22
#45 Brase et al (2022),#45 BRASE 96,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.48,0.42,0.47,<0.50,<0.33,<0.13,<0.36,<0.22,0.66,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 97,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.95,0.61,0.64,<0.50,<0.33,<0.13,<0.36,<0.22,1.2,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 98,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.27,0.25,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,0.98,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 99,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.25,0.31,0.47,<0.50,<0.33,<0.13,<0.36,<0.22,0.54,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 100,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.32,0.28,0.38,<0.50,<0.33,<0.13,<0.36,<0.22,0.49,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 101,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.44,0.36,0.38,<0.50,<0.33,<0.13,<0.36,<0.22,0.76,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 102,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.3,<0.08,<0.12,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,3.76,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 103,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,0.47,0.27,0.28,0.65,<0.50,<0.33,<0.13,<0.36,<0.22,1.02,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 104,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Astacoidea,Crayfish,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,0.37,0.3,0.46,0.98,<0.50,<0.33,<0.13,<0.36,<0.22,1.22,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 105,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.35,0.27,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,3.74,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 106,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,<0.08,0.29,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,0.57,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 107,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.41,0.17,0.46,<0.50,<0.33,<0.13,<0.36,<0.22,4.86,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 108,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.3,0.32,0.33,<0.50,<0.33,<0.13,<0.36,<0.22,3.5,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 109,Lake Ontario,"Poesten Kill, Downstream",42.71817603,-73.60756742,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.46,0.55,0.58,<0.50,<0.33,<0.13,<0.36,<0.22,9.16,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 110,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,0.3,1.13,0.89,1.23,<0.50,<0.33,<0.13,<0.36,<0.22,8.93,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 111,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,0.33,0.84,0.66,0.88,<0.50,<0.33,<0.13,<0.36,<0.22,5.93,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 112,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.25,0.4,0.5,<0.50,<0.33,<0.13,<0.36,<0.22,2.42,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 113,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,<0.08,<0.12,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,0.33,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 114,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.43,0.43,0.42,<0.50,<0.33,<0.13,<0.36,0.22,1.23,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 115,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Dragonflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,<0.08,<0.12,<0.32,<0.50,<0.33,<0.13,<0.36,1.82,<0.2,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 116,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Trueflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,0.69,0.23,0.2,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,1.7,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 117,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Trueflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,<0.08,0.17,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,1.64,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 118,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Trueflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.11,<0.12,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,0.35,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 119,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Trueflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,<0.08,0.24,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,2.28,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 120,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Trueflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,<0.08,0.18,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,1.78,<0.55,<0.18,<0.16,<0.07
#45 Brase et al (2022),#45 BRASE 121,Lake Ontario,"Poesten Kill, Upstream",42.67856816,-73.49986282,Insecta,Trueflies,Bulk composite,1,NA,9/1/20,2020,<0.70,<0.30,<0.46,<0.30,0.16,0.23,<0.32,<0.50,<0.33,<0.13,<0.36,<0.22,2.1,<0.55,<0.18,<0.16,<0.07
