"PFOS","PFDS","PFEtCHxS","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFPeDA"
11.62,1.11,NA,0.39,0.26,0.38,0.22,0.86,0.37,0.24
8.41,5.7,NA,0.00218334016659305,1.14,0.41,0.00273298155862097,0.9,0.9,0.00751724677190033
6.39,0.00077413574145998,NA,0.1,0.17,0.24,0.17,0.58,0.39,0.00632361393052903
23.84,2.31,NA,0.8,1.32,1.98,1.12,2,0.69,0.21
10.74,0.72,NA,0.13,0.14,0.27,0.16,0.6,0.41,0.21
67.28,7.57,NA,1.18,2.37,2.17,0.93,2.06,1.56,0.84
38.89,2.71,NA,0.84,1.16,1.2,0.82,1.43,0.99,1.06
59.15,2.84,NA,2.32,3.3,2.6,0.96,1.95,0.96,0.32
25.04,3.44,NA,0.47,1.61,2.24,0.98,2.28,1.78,0.62
59.88,3.15,NA,0.74,1.29,1.35,0.55,1.2,0.65,0.23
42.78,3.35,NA,0.82,1.35,1.04,0.45,1.29,0.84,0.5
40.38,2.38,NA,0.73,1.03,1.08,0.5,0.87,1.1,0.0073747765736766
24.9,3.73,NA,0.74,1.19,1.1,0.45,1.15,0.94,0.69
48.76,2.06,NA,2.52,3.08,2.21,0.79,1.51,0.6,0.27
53.25,3.06,NA,1.09,1.92,1.45,0.52,1.25,0.54,0.23
5.12,0.54,NA,0.83,0.62,0.94,0.41,1.33,0.41,0.28
6.8,0.85,NA,1.24,0.69,0.9,0.41,1.68,0.59,0.36
3.04,0.33,NA,0.47,0.33,0.58,0.24,0.95,0.28,0.00751719280755958
5.94,0.92,NA,1.51,0.78,1.23,0.42,1.74,0.64,0.33
3.02,0.32,NA,0.48,0.37,0.55,0.23,1.07,0.35,0.26
5.85,1.07,NA,1.67,1.09,1.08,0.44,1.91,0.93,0.65
6.14,0.8,NA,2.22,1.41,1.43,0.59,2.01,0.82,0.48
4.41,0.45,NA,0.84,0.59,0.83,0.33,1.41,0.58,0.38
4.35,0.55,NA,0.85,0.62,0.79,0.37,1.73,0.77,0.49
3.58,1.06,NA,0.35,0.67,0.64,0.25,1.29,1.87,1.23
149.54,NA,NA,2.57,5.36,3.08,NA,NA,NA,NA
9.16,NA,NA,0.00191489030435887,0.00284765576508901,0.00227557203207763,NA,NA,NA,NA
75.77,NA,NA,2.92,3.94,3.25,NA,NA,NA,NA
4.06,NA,NA,0.62,0.45,0.56,NA,NA,NA,NA
63.02,NA,NA,2.36,2.35,3.29,NA,NA,NA,NA
23.79,NA,NA,0.87,1.19,1.57,NA,NA,NA,NA
47.89,NA,NA,1.93,2.76,1.76,NA,NA,NA,NA
3.88,NA,NA,0.72,0.61,0.43,NA,NA,NA,NA
43.2,1.06,0.09,1.27,2.25,3.71,1.89,7.41,2.33,NA
56.3,0.97,0.11,3.96,4.31,8.08,3.55,9.49,2.93,NA
78.7,2.72,0.09,3.53,3.88,4.38,1.97,4.46,1.83,NA
128,1,0.2,3.86,5.27,6.64,2.67,8.15,2.58,NA
92.1,2.14,0.2,1.61,3.01,5.37,2.83,7.04,2.91,NA
247,3.67,0.23,2.27,6.39,8.99,3.94,9.82,3.79,NA
59,1.17,0.5,2.25,2.53,3.61,1.56,3.49,1.6,NA
101,1.13,1.56,2.68,3.7,5.6,2.36,5.34,1.54,NA
